Date,Source,Headlines,Teaser
  October 2004 ,Medscape Infectious Diseases,"Infectious Diseases: October 30, 2004","Dr. Bartlett reviews the latest on influenza, antibiotic tx guidelines, MRSA, hepatitis B, West Nile virus, smallpox vaccination, Crohn's disease, C difficile, prions, rhinovirus, & more."
  July 2004 ,Journal of the American Board of Family Medicine,Influenza Vaccination in Pregnancy,Are enough family physicians and obstetricians recommending the vaccine to expectant mothers in their second or third trimester when risk is greatest?
  June 2004 ,Medscape Nurses,Bacterial Meningitis: A Deadly But Preventable Disease,"Those whose lives have been touched by this lethal disease call for greater awareness, better prevention efforts, and more accurate diagnosis and treatment."
  April 2004 ,Alimentary Pharmacology & Therapeutics,Hepatitis Vaccination in Patients With Chronic Liver Disease,"Despite a declining incidence of acute viral hepatitis in recent years, it remains the most common cause of chronic liver disease world-wide."
  November 2003 ,Medscape Infectious Diseases,Emerging Infections,"Dr. John Bartlett reports on the latest data from IDSA on SARS, monkeypox, and other emerging infectious disease threats."
  November 2003 ,Medscape Infectious Diseases,"New Organisms, New Drugs, New Tests, New Guidelines: What Do You Really Need to Know?","What do infectious disease clinicians need to take away from IDSA? Henry Masur, MD, provides a succinct overview of key clinical data and discussions from this important annual meeting."
  September 2003 ,CHEST,Asthma and Influenza Vaccination,The public health burden attributable to asthma in the United States is considerable and is growing.
  July 2003 ,Journal Watch,Some Answers to Smallpox Vaccination Questions,The progress of the U.S. smallpox vaccination effort has been difficult to follow in the media.
  May 2003 ,Journal Watch,Flu Vaccine for Cardiovascular Prevention in the Elderly,Influenza is linked with increased risk for adverse cardiovascular events.
  October 2002 ,Medscape Pharmacists,October 2002,Read about the new drug approval for Hepsera for chronic hepatitis B and other recent FDA approvals and labeling changes.
  January 1970 ,Medscape Special Reports,Special Report: Adult Vaccines -- New ACIP Recommendations,New recommendations for already approved vaccines and a newly approved vaccine for meningococcal B infections -- what you need to know.
  December 2005 ,Journal Watch,Condoms Prevent HSV-2 Acquisition,Can condoms prevent spread of HSV-2? 1843 participants who had no luck with a vaccine were evaluated.
  October 2005 ,Morbidity & Mortality Weekly Report,"Influenza Vaccination Levels - United States, 2003","To improve overall influenza vaccination coverage, combinations of evidence-based effective interventions should be implemented, and the influenza vaccine supply should be stabilized."
  October 2005 ,The Nation's Health,Response Plans Prepare for Avian Influenza Outbreak,The growing threat of an avian influenza pandemic has international public health officials preparing for a potentially catastrophic flu strain.
  September 2005 ,Nature Medicine,siRNA in Prophylactic and Therapeutic Regimens Against SARS,Development of therapeutic agents for severe acute respiratory syndrome viral infection using short interfering RNA inhibitors exemplifies a powerful new means to combat emerging infectious diseases.
  August 2005 ,Journal Watch,Epidemiology of Hepatitis A Transformed by Vaccine,"Herd protection induced by vaccinating toddlers against hepatitis A is dramatic, according to well designed Israeli study. U.S. data presented in same issue of JAMA."
  July 2005 ,Medscape Pediatrics,Unable to Provide Vaccines due to Insurance Payments,"In California, insurance companies control the quality of medical care. Now, through economics, the insurance industry is making it impossible to deliver adequate immunizations."
  June 2005 ,Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: May 31, 2005","Dr. Bartlett reviews pertussis prev/tx, purpura fulminans due to S aureus, tx for Legionnaires disease, impact of vancomycin resistance on enterococcal bacteremia, entecavir for HBV, and much more."
  May 2005 ,Medscape HIV/AIDS,"Bartlett Infectious Diseases Review: May 15, 2005","Dr. Bartlett reviews the latest on flu vaccination efficacy in various age groups, new pneumonia treatment guidelines from ATS/IDSA, antifungal treatment, E coli outbreaks, and more."
  May 2005 ,Medscape Family Medicine,"Tetanus and Diphtheria: An Expert Interview With Susan Rehm, MD",What physicians don't know about tetanus and diphtheria boosters may hurt their patients.
  May 2005 ,Pharmacotherapy,Development of A Vaccine to Prevent Human Immunodeficiency Virus,Current strategies being investigated in the development of preventive HIV vaccines are reviewed.
  April 2005 ,Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: April 15, 2005","Dr. Bartlett reviews the latest data on the 2004-2005 US flu season, impact of pneumococcal vaccination on macrolide resistance, heptavalent cholera vaccine, and more."
  March 2005 ,American Public Health Association,Fact Sheet:Immunizations for Older Adults,"Older adults can reduce their risk of several life-threatening diseases through immunizations. Vaccines are safe and effective, and are covered by Medicare."
  January 2005 ,Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: December 31, 2004","Dr. Bartlett reviews the latest on influenza, gemifloxacin, drug resistance, poliomyelitis vaccination/epidemiology, S aureus & C difficile in pseudomembranous intestinal diseases, & more."
  December 2004 ,Journal Watch,Low Doses of Intradermal Flu Vaccine Perform Well,"Although the findings need clinical confirmation, these studies join others in suggesting that intradermal administration of the flu vaccine could stretch a limited supply."
  December 2004 ,Journal Watch,Vaccine Prevents HPV Infection and Early Cervical Lesions,"The HPV vaccine is likely to become the first licensed vaccine to prevent this common sexually transmitted disease. Larger, longer trials are needed to demonstrate that it can prevent cervical cancer."
  November 2004 ,Journal Watch,Mortality Benefit of Repeat Flu Vaccination in Elders,This observational study cannot establish causality but does associate a cumulative survival advantage among healthy elders with yearly vaccinations.
  November 2004 ,Journal Watch,Influenza Vaccine Recommendations: A Moving Target,"Each practice should keep lists of high-risk, eligible patients by diagnosis, so that rapid notification is possible."
