Date,Source,Headlines,Teaser
  July 2007 ,Medscape Medical News,CDC Issues New Guidelines for Meningococcal Vaccination,The Centers for Disease Control and Prevention's new meningococcal immunization recommendations call for vaccination of all adolescents 11 to 18 years of age.
  June 2006 ,Medscape Medical News,FDA Approves First Cervical Cancer Vaccine,"Applauded as one of the most important advances in women's health in recent years, experts say this vaccine and others like it could help save millions of lives worldwide."
  February 2005 ,Medscape Medical News,Highlights From MMWR: CDC Reports on Imported Polio Case and More,"The CDC has reported on a case of imported vaccine-associated paralytic poliomyelitis, influenza vaccination rates in children aged 6 to 23 months, and the rate of midwife-attended births in the US."
  October 2005 ,Medscape Medical News,Menactra May be Linked to Cases of Guillain-Barre Syndrome,The FDA and CDC investigate 5 cases of GBS in recipients of a quadrivalent meningococcal vaccine.
  February 2004 ,Medscape Medical News,Renal Tumor Cell Vaccine After Radical Nephrectomy Reduces Risk of Tumor...,"However, editorialists urge caution in face of possible problems in the design of the phase III, unblinded randomized trial."
  February 2016 ,Reuters Health Information,Vaccines for Kids Show High Return on Investment,"If childhood vaccines in resource-poor countries were considered as an investment, their returns would be enormous, according to a new study."
  May 2009 ,Medscape Medical News,Swine H1N1 Influenza Vaccine Could Reduce Supply of Seasonal Flu Vaccine,"The US government's tentative plan to develop a stand-alone vaccine for the swine-origin H1N1 influenza virus could strain the nation's vaccine makers to the point of reducing production of seasonal flu vaccine this fall, according to experts."
  April 2009 ,Medscape Medical News,"Potential Impact of Swine Flu: An Expert Interview With Neal A. Halsey, MD","Swine influenza could significantly affect public health by causing not only influenza-related morbidity and potential mortality, but also by diverting resources from other important immunization initiatives."
  April 2009 ,Medscape Medical News,American Academy of Pediatrics Updates Guidelines for Use of Rotavirus Vaccine,A second rotavirus vaccine has been licensed since the American Academy of Pediatrics first published guidelines regarding prevention of rotavirus gastroenteritis in January 2007.
  April 2009 ,Medscape Medical News,Prostate Cancer Vaccine Improves Survival,T cell immunotherapy for advanced prostate cancer shows promise and improves 3-year survival by 38% (more than 4 months).
  April 2009 ,Medscape Medical News,Reducing Mother-to-Child HBV Transmission,"Combining antihepatitis B virus therapy in pregnant Chinese women with vaccination of the infant provides a 2-fold risk reduction of the vaccine failure rate, from 39% to 18%."
  April 2009 ,Medscape Medical News,Vaccination Against Chronic HCV ,A DNA-based therapeutic vaccination against chronic hepatitis C virus (HCV) shows a sustained HCV-specific T-cell response and reduction in viral load.
  April 2009 ,Medscape Medical News,"ACOG Issues Recommendations on Routine Pelvic Exam, Cervical Cytology Screening","ACOG decided to issue the guidelines because the advent of the human papillomavirus vaccine has given rise to some confusion about when, and in whom, to perform periodic health assessments in women. "
  April 2009 ,Medscape Medical News,FDA Approves Expanded Age Indication for Tdap Booster Vaccine,The tetanus toxoid/reduced diphtheria toxoid/acellular pertussis single-dose booster vaccine (Boostrix) is approved for persons aged 10 to 64 years; it was initially licensed only for persons aged 10 to 18 years.
  April 2009 ,Medscape Medical News,"New TB Vaccine Is Safe, Highly Immunogenic in Patients With Latent Infection","In a phase 1 trial, MVA85A was safe and highly immunogenic, which should facilitate further trials in tuberculosis-endemic areas."
  March 2009 ,Medscape Medical News,"Vaccine Safety Communication: An Expert Interview With Patricia Stinchfield, RN, MS, CPNP","At the National Association of Pediatric Nurse Practitioners 30th Annual Conference, Ms. Stinchfield discussed strategies to communicate with parents, children, and adolescents about immunization."
  January 2009 ,Medscape Medical News,ACIP Issues 2009 Adult Immunization Schedule,The Advisory Committee on Immunization Practices has issued the recommended adult immunization schedule for 2009.
  January 2009 ,WebMD Health News,Child's Death Is First of Flu Season,The CDC reports a Minnesota child is the first influenza-related death.
  November 2008 ,Heartwire from Medscape,Flu Shot Linked to Reduced Risk of VTE,"The link between influenza vaccination and reduced pulmonary embolism or deep vein thrombosis was particularly marked in younger subjects, researchers say."
  July 2008 ,Medscape Medical News,Vaccine Shows No Benefit in Renal Cell Carcinoma,"The heat-shock protein peptide complex, which was showing promise in early study, has failed a phase 3 trial."
  May 2008 ,Medscape Medical News,Nicotine Conjugate Vaccine to Quit Smoking,"A study shows that NicVAX antibodies prevent nicotine from reaching the brain, interrupting drug reinforcement and resulting in smoking cessation."
  May 2008 ,Medscape Medical News,Increasing Influenza Immunization Coverage,A school-based trial implemented in 2007/08 efficiently increased influenza-immunization coverage in elementary schools.
  February 2008 ,WebMD Health News,Most Influenza Strains Do Not Match Current Vaccine,"Vaccination is still beneficial, although protection may not be optimal, flu expert said."
  January 2008 ,WebMD Health News,CDC: Adult Vaccination Rates Too Low,"Only 2% of eligible adults have had a shingles vaccine, according to the Centers for Disease Control and Prevention."
  January 2008 ,Medscape Medical News,New Meningitis Vaccine May Offer Better Immunity in Infants,"In a randomized controlled trial, the new vaccine was better able to produce immunity in infants than the current meningococcal tetravalent glycoconjugate vaccine and was well tolerated."
  October 2007 ,Medscape Medical News,Full Pneumococcal Immunization Strongly Advised for Patients With Cochlear,Deaths resulting from pneumococcal meningitis may have been preventable with vaccination.
  July 2009 ,Medscape Medical News,H1N1 Flu Vaccine Trials Set to Launch , Clinical trials of 2 H1N1 influenza vaccines will begin shortly to assess vaccine safety and efficacy in anticipation of a fall outbreak.
  July 2009 ,Medscape Medical News,FDA Approves Influenza Vaccine for 2009-2010 Season,"Although the vaccine will not protect individuals against H1N1 influenza A infection, the FDA emphasizes the importance of continuing to receive prophylaxis against seasonal influenza strains."
  July 2009 ,WebMD Health News,H1N1 Flu Vaccine Fast-Tracked to September?,The National Biodefense Safety Board has recommended in a unanimous vote to skip all but the most preliminary clinical tests of vaccine safety and effectiveness.
  July 2009 ,Medscape Medical News,CDC Not Worried About Supply of H1N1 Vaccine,The US should have an adequate supply of the influenza A (H1N1) vaccine this fall despite reports of snags encountered by manufacturers and fears that they could break their contracts with the United States.
  July 2009 ,Medscape Medical News,US Preparing for Fall H1N1 Flu Season ,"Public health officials and delegations from 54 states, tribes, and territories at the H1N1 Influenza Preparedness Summit discussed a 4-pronged approach to preparation for the fall 2009 influenza season."
  July 2009 ,Medscape Medical News,HPV Vaccination Program Reduces the Incidence of Genital Warts in Both Sexes,A free HPV vaccine program was associated with a reduction in risk for genital warts within a few years.
  July 2009 ,Medscape Medical News,Final Analysis Shows HPV Vaccine Is Effective and Safe ,"The final results of a large phase 3 trial demonstrate that Cervarix, an AS04-adjunvanted vaccine, was immunogenic, generally well tolerated, and effective against HPV-16 or HPV-18 infections."
  July 2009 ,Medscape Medical News,HPV Vaccination Is Not Cost-Effective in the Netherlands ,"Even under the most favorable assumptions, the HPV vaccine was not found to be cost effective, Dutch researchers report. "
  June 2009 ,Medscape Medical News,Quadrivalent HPV Vaccine May Be Effective in Women 24 to 45 Years Old,"In a randomized trial, the quadrivalent human papillomavirus vaccine was efficacious in women aged 24 to 45 years who were not infected with the relevant types at enrollment."
  June 2009 ,WebMD Health News,Vaccine Fights Melanoma,An experimental vaccine shrinks tumors in people with deadly skin cancer.
  June 2009 ,Reuters Health Information,Pneumococcal Vaccines Prevent Invasive Disease in Infants: Meta-Analysis,"According to a meta-analysis, pneumococcal conjugate bacterial vaccines can prevent invasive disease caused by Streptococcus pneumoniae in healthy infants up to age 24 months."
  June 2009 ,Medscape Medical News,Vaccine in Follicular Lymphoma Produces Significant Effect,"A vaccine for follicular lymphoma has been shown to improve disease-free survival, but there are questions about how it will fit alongside current therapy."
  May 2009 ,Medscape Medical News,Minimum Interval DTaP Schedule May Increase Receipt of Other Vaccines,A minimum interval schedule of diphtheria and tetanus toxoids and acellular pertussis vaccine was positively linked with receipt of inactivated polio vaccine and pneumococcal conjugate vaccine.
  May 2009 ,WebMD Health News,Unvaccinated Kids Getting Whooping Cough,Children of parents who refuse vaccines are more likely to get whooping cough.
  May 2009 ,Medscape Medical News,Flu Vaccination in Children With Asthma,"Trivalent inactivated influenza vaccine was not an effective protection against hospitalization in pediatric populations, particularly in children with asthma; but experts agree that this is not a reason to stop vaccinating children with asthma, because the vaccine is still helpful in making protective antibodies."
  May 2009 ,Medscape Medical News,Communicating Vaccine Safety to the Public,"Healthcare professionals must educate parents that not vaccinating children poses serious risks to the health of individual children, as well as to the public."
  May 2009 ,Medscape Medical News,"WHO Panel Will Weigh Full-Scale Production of H1N1 Vaccine, May Halt Seasonal Vaccine Production",The World Health Organization (WHO) will convene a panel of experts on May 14 to consider whether to initiate large-scale production of a vaccine for the swine-origin influenza A (H1N1) virus as well as whether to halt production of next fall's seasonal flu vaccine.
  May 2009 ,Medscape Medical News,Vaccination Order for Pneumococcal Conjugate Vaccine May Affect Infant Pain Response,"Infants who receive pneumococcal conjugate vaccine after the combination vaccine for diphtheria, polio, tetanus, pertussis, and Haemophilus influenzae type b appear to have less pain than those who are immunized in the reverse order."
  May 2009 ,Medscape Medical News,"Expanded Program on Immunization (EPI) Schedule: An Expert Interview With Neal A. Halsey, MD","In his presentation at the National Foundation for Infectious Diseases 12th Annual Conference on Vaccine Research, Dr. Halsey recommended modifying the current schedule, which is now 25 years old, to a 2-dose series for most vaccines, with a booster at 12 months."
  May 2009 ,Medscape Medical News,WHO: H1N1 Vaccine Will Take 4 to 6 Months to Make,"Seasonal influenza vaccine is likely to have no effect on the new influenza A (H1N1) strain, the World Health Organization said today, and a new vaccine will take about 4 to 6 months to make."
