Date,Source,Headlines,Teaser
" June, 2000 ",Medscape Medical News,Estrogen Replacement May Negate the Benefits of Growth Hormone,"In a preliminary study, researchers have found evidence that boosting production of growth hormone can reduce body fat and help maintain levels of functioning in elderly men and women."
" November, 2001 ",Drugs & Therapy Perspectives,Risedronate,"Bisphosphonates are pyrophosphate analogues which, originally used as antiscaling agents, have been available for general use in the treatment of various bone diseases since the 1980s."
" July, 2002 ",Medscape Medical News,Beta-Blockers May Be Underused,"No increase in depression risk was seen, but there was a small risk of fatigue and sexual dysfunction."
" September, 2002 ",American Journal of Health-System Pharmacy,Identifying Significant Preventable Adverse Drug Events,The widely recognized Institute of Medicine (IOM) report on patient safety has challenged medical facilities to systematically investigate and reduce medical errors.
" January, 2003 ",Medscape Pharmacists,"Food and Drug Administration Approvals, January 2003","Biologics gain new approval with adalimumab, a novel monoclonal antibody for rheumatoid arthritis."
" July, 2003 ",Pharmacotherapy,Medication Errors That Involved Drug Allergies at a Hospital,Allergies to drugs can pose a challenge to achieving optimal drug therapy.
" September, 2003 ",American Journal of Health-System Pharmacy,Nature of Preventable Adverse Drug Events in Hospitals,"An Institute of Medicine (IOM) report on patient safety found that, ""although there is still much to learn about the types of errors committed in health care and why they occur, enough is known today to recognize that a serious concern exists for patients."""
" December, 2003 ",American Journal of Health-System Pharmacy,Recommended and Actual Lepirudin Doses in Patients With Renal,"Immune-mediated heparin-induced thrombocytopenia (HIT), also known as HIT type II, is a potentially serious adverse effect of heparin therapy."
" January, 2004 ",Medscape Allergy & Immunology,Desensitization to a Sulfa Drug in an Immunocompetent Patient,Should a physician attempt desensitization to a sulfa drug in an immunocompetent patient when an infectious disease specialist requests this for cellulitis?
" March, 2004 ",Medscape Allergy & Immunology,Treatment of Drug Allergy With Adrenaline?,"I have read in a paper that adrenaline should be the drug of first choice in the case of bee-sting allergy, even if the patient has only urticaria. Do you advise the same for drug allergy?"
" May, 2004 ",American Journal of Health-System Pharmacy,Discontinuation and Reinstitution of Medications During the,"The issues regarding the discontinuation and reinstitution of long-term therapies, including cardiovascular agents,anticoagulants and antiplatelet agents, central nervous system agents, and herbal m"
" May, 2004 ",Cancer Nursing,Prevention and Treatment of Oropharyngeal Mucositis,Oropharyngeal mucositis may be a distressing side effect of chemotherapy and irradiation. This comprehensive review offers recommendations to reduce symptoms and improve functioning.
" June, 2004 ",Pharmacotherapy,Meperidine is Alive and Well in the New Millennium,"A classic case of normeperidine toxicity, and to present institution-specific data on meperidine usage patterns and the frequency of adverse drug reactions."
" July, 2004 ",Current Medical Research and Opinion,A Meta-Analysis of Botulinum Toxin Type A Safety,BTX-A therapy has an excellent safety and tolerability profile across a wide range of cosmetic and therapeuticuses.
