Date,Source,Headlines,Teaser
  October 2005 ,Pharmacotherapy,Adverse Effects Associated With Extra Doses of Bupropion,"Patients should be educated about the risk of adverse effects if they take extra doses of bupropion, which happened in about 10% of the patients studied."
  July 2005 ,Medscape General Medicine,Drug-Resistant Variants of HIV-1 in India,"In northern India, most treatment-naive patients had mixtures of wild-type and mutant HIV; 80% had zidovudine (codon 70) and 32% lamivudine (M184V/I) resistance mutations."
  June 2005 ,Pharmacotherapy,Use of the Beers Criteria to Predict Adverse Drug Reactions,"Clinicians should be alert to the possibility of ADRs if a patient takes more than 5 drugs, has a history of ADRs, or exhibits poor compliance with prescribed drugs."
  November 2004 ,Pharmacotherapy,SAMe Bioavailability and Lack of Toxicity in Humans,The risk of mania in vulnerable individuals remains a serious concern.
  July 2004 ,Current Medical Research and Opinion,A Meta-Analysis of Botulinum Toxin Type A Safety,BTX-A therapy has an excellent safety and tolerability profile across a wide range of cosmetic and therapeuticuses.
  June 2004 ,Pharmacotherapy,Meperidine is Alive and Well in the New Millennium,"A classic case of normeperidine toxicity, and to present institution-specific data on meperidine usage patterns and the frequency of adverse drug reactions."
  May 2004 ,American Journal of Health-System Pharmacy,Discontinuation and Reinstitution of Medications During the,"The issues regarding the discontinuation and reinstitution of long-term therapies, including cardiovascular agents,anticoagulants and antiplatelet agents, central nervous system agents, and herbal m"
  May 2004 ,Cancer Nursing,Prevention and Treatment of Oropharyngeal Mucositis,Oropharyngeal mucositis may be a distressing side effect of chemotherapy and irradiation. This comprehensive review offers recommendations to reduce symptoms and improve functioning.
  December 2003 ,American Journal of Health-System Pharmacy,Recommended and Actual Lepirudin Doses in Patients With Renal,"Immune-mediated heparin-induced thrombocytopenia (HIT), also known as HIT type II, is a potentially serious adverse effect of heparin therapy."
  September 2003 ,American Journal of Health-System Pharmacy,Nature of Preventable Adverse Drug Events in Hospitals,"An Institute of Medicine (IOM) report on patient safety found that, ""although there is still much to learn about the types of errors committed in health care and why they occur, enough is known today to recognize that a serious concern exists for patients."""
  July 2003 ,Pharmacotherapy,Medication Errors That Involved Drug Allergies at a Hospital,Allergies to drugs can pose a challenge to achieving optimal drug therapy.
  September 2002 ,American Journal of Health-System Pharmacy,Identifying Significant Preventable Adverse Drug Events,The widely recognized Institute of Medicine (IOM) report on patient safety has challenged medical facilities to systematically investigate and reduce medical errors.
  November 2001 ,Drugs & Therapy Perspectives,Risedronate,"Bisphosphonates are pyrophosphate analogues which, originally used as antiscaling agents, have been available for general use in the treatment of various bone diseases since the 1980s."
  March 2009 ,Expert Review of Clinical Pharmacology,"Safety, Efficacy and Ethical Issues Regarding Weight-Loss Medications",Why has it become difficult to develop safe and effective weight-loss drugs? 
  January 2009 ,Current Opinion in Gastroenterology,NSAIDs and the Colon,What effects do NSAIDs have on the colon?
  January 2009 ,Personalized Medicine,Pharmacogenomic Biomarkers of Susceptibility to Adverse Drug Reactions,What are the challenges faced in the development of pharmacogenomic markers that practitioners can use to predict and manage individual susceptibility to serious or toxic treatment outcomes?
  January 2009 ,AIDS Reviews,Risk Factors for Gastrointestinal Adverse Events in HIV Treated and Untreated Patients,Will antiretroviral treatment lead to improvements in HIV infection-related gastrointestinal symptoms?
  January 2009 ,Geriatrics & Aging,Prescribing Opioids to Older Adults,Choosing the right opioid for an older adult can be challenging for a number of reasons. This useful review will help the issues.
