Date,Source,Headlines,Teaser
  February 2008 ,Medscape Medical News,Adverse Event Reporting for Cancer Therapy Needs Revision,"The Common Terminology Criteria for Adverse Events was developed to standardize language for reporting adverse events that occur in NCI-sponsored clinical trials, but it is unable to adequately code the subacute adverse events that occur with new targeted therapies."
  February 2008 ,Medscape Medical News,"Respiratory Compromise, Death May Be Linked to Botulinum Toxin","An ongoing FDA safety review of Botox, Botox Cosmetic (botulinum toxin type A), and Myobloc (botulinum toxin type B) has shown systemic adverse reactions resembling botulism."
  February 2008 ,Medscape Medical News,FDA Takes Action to Stop Marketing of Unapproved Colchicine Injection,"The US Food and Drug Administration has received 50 reports of adverse events with colchicine injection, including 23 deaths, related to product use."
  February 2008 ,Medscape Medical News,Two Studies Describe Approaches Shown to Reduce Obstetrical Errors,Yale teaching hospital cut its obstetrical error rate in half after implementing changes; a single change by a Pennsylvania hospital also showed improvement in patient safety.
  February 2008 ,Medscape Medical News,Varenicline May Be Linked to Risk for Serious Symptoms,"Patients given varenicline should be monitored for strange thoughts/behaviors, depressed mood, and suicidality."
  February 2008 ,Medscape Medical News,Antiepileptic Drugs Linked to Increased Risk for Suicidality,Patients taking certain drugs for epilepsy or other indications should be carefully monitored for behavioral changes.
  January 2008 ,Medscape Medical News,Heparin Recall,Nine lots of the antithrombin have been recalled because of a higher-than-expected rate of allergic reactions.
  September 2007 ,Medscape Medical News,Adverse Drug Events More Than Doubled Between 1998 and 2005,Serious adverse drug events reported to the US Food and Drug Administration's Adverse Event Reporting System increased 4 times faster than did the total number of outpatient prescriptions during this period.
  June 2007 ,Medscape Medical News,CF Patient Death May be Linked to Colistimethate Inhalation Therapy,"Inhalation solution should be used immediately to reduce the risk for pulmonary toxicity, according to the FDA."
  May 2005 ,Medscape Medical News,Isotretinoin May Decrease Depression in Adolescents With Acne,"Treatment of moderate-severe acne either with conservative therapy or with isotretinoin was associated with a decrease, not an increase, in depressive symptoms."
  January 2005 ,Medscape Medical News,"FDA Safety Labeling Changes: Vesanoid, Kaletra, Axid, Enbrel","The FDA has approved revisions to the safety labeling for tretinoin capsules (Vesanoid), lopinavir/ritonavir capsules and oral solution (Kaletra), nizatidine 75-mg tablets (Axid AR), and etanercept (Enbrel)."
  January 2005 ,Medscape Medical News,"Clozapine, Olanzapine May Increase Risk of Insulin Resistance","A cross sectional study suggests that compared with risperidone, use of these drugs is associated with a significantly higher risk of developing insulin resistance."
  July 2002 ,Medscape Medical News,Beta-Blockers May Be Underused,"No increase in depression risk was seen, but there was a small risk of fatigue and sexual dysfunction."
  June 2000 ,Medscape Medical News,Estrogen Replacement May Negate the Benefits of Growth Hormone,"In a preliminary study, researchers have found evidence that boosting production of growth hormone can reduce body fat and help maintain levels of functioning in elderly men and women."
  April 2008 ,Medscape Medical News,Rotigotine Patch Recalled Due to Drug Crystallization,Drug crystallization can hamper absorption; healthcare professionals are advised to begin down-titrating patients according to product guidelines and should not initiate rotigotine therapy in new patients.
  April 2008 ,Medscape Medical News,Rubber Chemical Found in Daptomycin Infusion Pumps,Healthcare professionals are advised to avoid the use of daptomycin with ReadyMED elastomeric infusion pumps.
  April 2008 ,Medscape Medical News,Exubera Gets Lung Cancer Warning,Cases occurred in prior smokers and are too few to establish a causal role for the product.
  April 2008 ,Medscape Medical News,Transparency in Adverse Event Reporting Pleases Patients,A new survey reveals that hospitalized patients are informed of less than half of all adverse events that they experience.
  April 2008 ,Medscape Medical News,Tegaserod Maleate Restricted to Emergency Use Only,FDA must approve requests for tegaserod maleate and must authorize shipments from the manufacturer.
  March 2008 ,Medscape Medical News,Study Data Link 2 NRTIs to Increased MI Risk,"The FDA recommends that healthcare professionals discuss potential risks and benefits of abacavir (Ziagen) and didanosine (Videx) therapy, including myocardial infarction, with HIV-infected patients."
  March 2008 ,Medscape Medical News,Diabetic Ulcer Gel Linked to Increased Cancer Deaths,Healthcare professionals are advised to discuss risks and benefits of becaplermin gel (Regranex) with patients.
  March 2008 ,Medscape Medical News,"Asthma Medication Evaluated for Possible Link to Mood Changes,  Suicidality",The FDA has issued a MedWatch Safety alert informing doctors and patients that it is investigating a possible link between use of montelukast and changes in mood and behavior as well as suicidality and suicide.
  March 2008 ,Heartwire from Medscape,More Heparin Recalls in Europe and US,"The latest countries to recall heparin products are France, Italy, and Denmark, and the affected material has been traced to four Chinese suppliers. Another US manufacturer has also recalled some heparin products."
  March 2008 ,Heartwire from Medscape,Heparin Contaminant Identified,The contaminant found in samples of heparin that had been linked to an increase in adverse reactions has now been identified as oversulfated chondroitin sulfate.
  March 2008 ,Medscape Medical News,Tiotropium Linked to Possible Increased Risk of Stroke,"On the basis of an ongoing safety review, MedWatch reports a possible increased risk of stroke with use of tiotropium."
  March 2008 ,Medscape Medical News,Serious Skin Reactions Reported With TNF-alpha Antagonists,"Safety reviews of infliximab, etanercept, and adalimumab identified rare cases of erythema multiforme, Stevens-Johnson syndrome, toxic epidermal necrolysis, and other skin reactions."
  March 2008 ,Medscape Medical News,Black Box Warning Issued for Etanercept Regarding Infections,A black box warning to be included on etanercept's prescribing information states that tuberculosis has been observed with TNF-blocking agents and that tuberculosis may be caused by reactivation of latent tuberculosis infection and by new infection.
  March 2008 ,Heartwire from Medscape,Heparin Contaminant Traced to China,The FDA has also issued an import alert requiring all heparin products be tested for the contaminant.
  March 2008 ,Medscape Medical News,New HIV Drug Linked to Risk for Hepatitis,Liver enzymes should be monitored during treatment with ritonavir-boosted darunavir.
  March 2008 ,Medscape Medical News,Cough Medicine Dosing Errors Linked to Patient Deaths,Patients should not take hydrocodone plus chlorpheniramine extended-release suspension (Tussionex) more often or at higher doses than recommended.
  March 2008 ,Heartwire from Medscape,Heparin Contaminant,"The FDA is requesting all heparin manufacturers to test products for this contaminant. Increased rates of adverse reactions have now also been reported in Germany with heparin not made by Baxter or its supplier, Scientific Protein Laboratories."
  March 2008 ,Medscape Medical News,What Your Patients Are Reading,"Hormone replacement therapy may result in a higher risk for breast cancer, both hysterectomy and uterine artery embolization can help treat uterine fibroids, tendonitis may be a result of statin use, obese children have more surgical complications than children of a normal weight, a change in selective serotonin reuptake inhibitors in conjunction with cognitive behavioral therapy may be adequate t"
  March 2008 ,Medscape Medical News,Antiviral Drug Labels Get Warnings for Neuropsychiatric Changes,Patients with influenza should be closely monitored for signs of abnormal behavior during treatment with Tamiflu and possibly also Relenza.
  February 2008 ,Medscape Medical News,Natalizumab May Cause Significant Liver Injury,Natalizumab (Tysabri) should be discontinued in patients with jaundice or other signs of liver injury.
  August 2008 ,Medscape Medical News,Byetta Linked to Acute Pancreatitis,Exenatide therapy has been linked to 6 new cases of hemorrhagic or necrotizing pancreatitis.
  August 2008 ,Medscape Medical News,FDA Warns About Injection Site Reactions With Naltrexone,"Injectable, extended-release naltrexone, used for the treatment of alcohol dependence, has been linked to adverse injection-site reactions, some requiring surgery."
  August 2008 ,Medscape Medical News,"HPV Vaccine Deemed Safe and Effective, Despite Reports of Adverse Events","Questions over the safety of the human papillomavirus vaccine have been raised by consumers, parents, healthcare professionals, and others. But having analyzed the available data, the CDC and FDA offer reassurance."
  August 2008 ,Medscape Medical News,FDA Releases List of Genomic Biomarkers Predictive of Drug Interactions,Quarterly updates of the table by the US Food and Drug Administration should help keep clinicians and patients informed about potential drug response and risk for adverse reactions.
  July 2008 ,Medscape Medical News,Genetic Screening Recommended Before Abacavir HIV Therapy,Screening for a particular allele can decrease the risk for abacavir hypersensitivity reactions by 60%.
  July 2008 ,Medscape Medical News,"Herceptin Vials to Be Checked for Damage, FDA Warns",Breakage and other damage may compromise sterility and pose infection risk to patient.
  July 2008 ,Medscape Medical News,"FDA Advisory Members Agree AEDs Pose Suicidality Risk, Nix Black Box","Antiepileptic drugs pose an increased risk of suicidality, but the data do not warrant a black-box warning, advisory committee members told the FDA."
  July 2008 ,Medscape Medical News,Fluoroquinolones Earn Black Box Warning for Tendon-Related Adverse Effects,The magnitude of reported adverse events related to fluoroquinolone use necessitates stronger warnings regarding the risk for tendonitis and tendon rupture.
