Date,Source,Headlines,Teaser
  December 2005 ,Medscape Rheumatology,Using Methotrexate at a Dosage > 25 mg per Week for RA,"Is there any evidence to support the use of methotrexate for rheumatoid arthritis at a dosage of > 25 mg per week? Also, what about methotrexate combined with azathioprine?"
  November 2005 ,Medscape Allergy & Immunology,Managing a Patient Who Develops Urticaria to Medication,A 56-year-old patient recently requested help with urticaria that occurs with any medication. What are your suggestions?
  December 2004 ,Medscape General Medicine,Methamphetamine-Associated Shock With Intestinal Infarction,This article reports an unusual case of methamphetamine-associated intestinal infarction.
  March 2004 ,Medscape Allergy & Immunology,Treatment of Drug Allergy With Adrenaline?,"I have read in a paper that adrenaline should be the drug of first choice in the case of bee-sting allergy, even if the patient has only urticaria. Do you advise the same for drug allergy?"
  January 2004 ,Medscape Allergy & Immunology,Desensitization to a Sulfa Drug in an Immunocompetent Patient,Should a physician attempt desensitization to a sulfa drug in an immunocompetent patient when an infectious disease specialist requests this for cellulitis?
  January 2003 ,Medscape Pharmacists,"Food and Drug Administration Approvals, January 2003","Biologics gain new approval with adalimumab, a novel monoclonal antibody for rheumatoid arthritis."
  November 2006 ,Medscape Allergy & Immunology,Can Leukotriene Modifiers Benefit Severe Drug-Induced Skin Reactions?,"""What is the role of leukotriene modifiers (montelukast) in severe drug-induced skin reaction? I have used it in a case of Stevens-Johnson syndrome, with very good results."""
  October 2006 ,Medscape Pharmacists,Antiepileptic Drugs May Impair Bone Growth in Children,Children on antiepileptic drug therapy may need to undergo bone mineral density screening on a yearly basis and be monitored closely for fracture risk.
  September 2006 ,Medscape Med Students,A 60-Year-Old Woman With New Seizures,"The patient arrives at the emergency room after having a seizure at home, then experiences another one while there. Can you figure out the cause?"
  August 2006 ,Medscape Med Students,How Can Physicians Stay Current on Prescription Drugs?,"With so many new drugs entering the market and new studies uncovering potential drug interactions and contraindications, how can a physician stay on top of the growing mound of information?"
  August 2006 ,Medscape Psychiatry,Antipsychotic Therapy for Childhood Schizophrenia,Why would children and teens experience better treatment response from first-generation antipsychotics compared with second-generation antipsychotics?
  July 2006 ,Medscape Family Medicine,Adverse Drug Reactions,From a study on ethnic differences in adverse drug reactions published in the May 2006 issue of BMJ.
  May 2006 ,Medscape Allergy & Immunology,Intranasal Corticosteroids for Over-the-Counter Use,A position paper on the advisability of allowing intranasal corticosteroids to be sold over the counter.
  May 2006 ,Medscape Infectious Diseases,Selected ID Topics: May 2006,"Dr. John G. Bartlett reviews publications on the risk for gatifloxacin-associated dysglycemia, and a randomized clinical trial of human botulism immune globulin for the treatment of infant botulism."
  April 2006 ,Medscape Nurses,Withdrawal Effects When Discontinuing Antipsychotic Medications,"I have encountered withdrawal effects when discontinuing ziprasidone HCI (Geodon), even with a very slow taper of the drug. I'm wondering whether others have noted this in their patients."
  February 2006 ,Medscape Allergy & Immunology,Seafood and Iodine: An Analysis of a Medical Myth,There is a common misconception that individuals who are allergic to seafood react to the iodine that is in the seafood. The basis of this misconception is explored.
  November 2007 ,Medscape Rheumatology,Gout: Treatment Reaction to Allopurinol - - What Next?,A patient with gout intolerant to NSAIDs and colchicine developed rash on treatment with allopurinol and sulfinpyrazone. Desensitization with allopurinol was not successful. Can anakinra be tried?
  August 2007 ,Medscape Pharmacists,Treating Hot Flashes Induced by Tamoxifen,Can venlafaxine be used to treat hot flashes that occur as a side effect of tamoxifen?
  August 2007 ,Medscape Pharmacists,Dietary Supplements Require Greater Vigilance,"Healthcare workers are a key piece of the safety net, but many are unaware of the role they are expected to play."
  August 2007 ,Medscape Pharmacists,Are Drug Interactions With Dietary Products Underreported?,A survey of community pharmacists found a worrisome lack of knowledge about potential interactions and adverse events.
  July 2007 ,Medscape Pharmacists,Pharmacist-Run Clinic Minimizes Concerns About Teriparatide,"Although it carries a black-box warning, this drug is effective in treating osteoporosis, and safety issues can be addressed with pharmacist oversight."
  May 2007 ,Medscape HIV/AIDS,HIV STI Literature: Commentary by Dr. John G. Bartlett -- April 2007,In this review and commentary: 2 different studies of treatment interruption vs continuous ART lead to apparently different outcomes. Are CD4 cell counts at the time of restarting the reason?
  April 2007 ,Medscape Pharmacists,Does Combining Duloxetine and Amitriptyline Raise the Risk for Seizures?,"Each drug has an associated risk for seizures, but what about in combination?"
  January 2007 ,Medscape Allergy & Immunology,Sensitivity to Bee Pollen in Allergic Individuals,"The number of patients using ""natural supplements,"" such as bee pollen for various medical conditions, continues to rise, but how safe is this?"
  November 2006 ,Medscape Psychiatry,Recognizing and Managing Stimulant Complications,"Noncompliance rates for stimulants can reach as high as 65%, primarily because of side effects. How can you minimize adverse events to maximize adherence and effectiveness of treatment?"
  August 2008 ,Medscape Pharmacists,Contrast Media Reactions Pose Serious Risk of Nephropathy,"Iodinated contrast media perform an important function in imaging, but they also can increase the risk for morbidity and mortality due to nephropathy."
  August 2008 ,Medscape Pharmacists,Can Pharmacists Improve the Accuracy of Medication Histories?,Physicians may be missing important pieces of a patient's medication history at hospital admission.
  August 2008 ,Medscape Pathology,The Genetics of Statin-Induced Myopathy,Dr. Eric Topol discusses the newly reported genetic basis for statin-induced myopathy in this videoblog.
  July 2008 ,Medscape Pharmacists,Does Switching Statins Increase the Risk for Adverse Events?,Patients on statin therapy sometimes must switch from one statin to another. Does that increase the risk of developing an adverse reaction?
  July 2008 ,Medscape Infectious Diseases,fluoroquinolones,"What's behind the new FDA black box warnings for fluoroquinolones? Paul Auwaerter, MD, discusses the recent major labeling change in his videoblog."
  July 2008 ,Medscape Oncology,Osteonecrosis in Long-term Survivors of Cancer,"In this videoblog, Dr. Maurie Markman discusses findings from the Childhood Cancer Survivor Study, which highlight the importance of long-term studies."
  July 2008 ,Medscape Pulmonary Medicine,Antithrombotic and Thrombolytic Therapy: ACCP Guidelines in Perspective,New evidence-based ACCP guidelines address prevention and management of thrombosis. Dr. Shorr discusses NEJM articles on this prevention during hip and knee replacement surgeries.
