Date,Source,Headlines,Teaser
  August 2003 ,Dermatology Nursing,Antibiotic Resistance of Propionibacterium acnes in Acne,Nine key recommendations are offered to limit antibacterial resistance of P. acnes.
  August 2003 ,Pharmacotherapy,Pharmacokinetics of Meropenem,Considerable interest has been generated in maximizing the pharmacodynamic properties of antimicrobial agents in the clinical setting in order to optimize patient outcomes and prevent the emergence of resistant organisms.
  May 2003 ,Pharmacotherapy,Assessment of Differences in Antimicrobial Effect,The objective of this collaborative pilot study is to measure the influence of different surface area:volume ratios (SA:Vs) on antibiotic penetration and subsequent antibacterial effect.
  April 2003 ,Emerging Infectious Diseases,Antimicrobial Drug Prescriptions in Ambulatory-Care Settings,"With the emergence of antimicrobial resistance, the use of antimicrobial drugs has increased in both inpatient and outpatient settings"
  February 2003 ,Seminars in Respiratory and Critical Care Medicine,Global Epidemiology of Antimicrobial Resistance,Antimicrobial resistance continues to evolve and presents serious challenges in the therapy of both nosocomial and community-acquired infections.
  July 2002 ,Emerging Infectious Diseases,Temporal Changes in Prevalence of Antimicrobial Resistance,Excessive quinolone use and inadequate infection-control practices may explain observed trends.
  July 2002 ,Emerging Infectious Diseases,Monitoring Antimicrobial Use and Resistance,Changes in prescriber practice were associated with significant decreases in vancomycin use and VRE prevalence.
  July 2002 ,Emerging Infectious Diseases,"Antibiotic Resistance of Gram-Negative Bacteria in Rivers, US","The most common organisms were Acinetobacter, Alcaligenes, Citrobacter, Enterobacter, Pseudomonas, and Serratia."
  December 2001 ,Southern Medical Journal,Group B Streptococcal Bacteremia,Compare the clinical findings of patients with group B streptococcal bacteremia in the 1990s with those from the 1980s.
  April 2001 ,Southern Medical Journal,Isolated Septic Arthritis,"Streptococcus pneumoniae is a common cause of infection in the pediatric population, as well as an important cause of septic arthritis."
  August 2005 ,Emerging Infectious Diseases,Treatment of Antimicrobial-resistant Neisseria gonorrhoeae,These authors evaluated cost-minimizing strategies for both diagnosis and treatment of gonorrhea in women.
  July 2005 ,Pharmacotherapy,Aspirin Resistance: An Evaluation,"About 26 million Americans take aspirin daily to prevent heart attacks, but how many are actually receiving a benefit?"
  July 2005 ,Pharmacotherapy,Gram-Positive Resistance,"New antibiotics provide valuable alternatives to vancomycin, but their use should be limited to resistant infections."
  June 2005 ,Emerging Infectious Diseases,Statewide Program to Promote Appropriate Antimicrobial Drug Use,"In 1999, Wisconsin initiated an educational campaign for primary care clinicians and the public to promote judicious antimicrobial drug use. Learn about its impact on clinician knowledge and beliefs."
