Date,Source,Headlines,Teaser
  January 2003 ,Medscape Medical News,Universal Screening for MRSA Recommended for ICU Admissions,"The high prevalence of MRSA carriage makes this beneficial, according to results of a prospective multicenter study and cost-benefit analysis."
  October 2002 ,Medscape Medical News,Antibiotic-Resistant Staph Moves Outside Hospital,"In communities in which 10% or more of the S. aureus infections are resistant, physicians should use vancomycin or clindamycin as the first-line treatment for serious infections."
  June 2002 ,Medscape Medical News,Linezolid as Effective as Vancomycin for MRSA,Switching to the oral route within 5 days substantially cuts costs.
  July 2008 ,Medscape Medical News,Mupirocin Resistance May Be Common in MRSA Clinical Isolates,"A survey showed a relatively high rate of mupirocin resistance, and a second study showed increasing resistance to ciprofloxacin among E coli isolates despite targeted interventions."
  July 2008 ,Medscape Medical News,Strategies May Improve Appropriate Antimicrobial Use and Reduce Resistance,"Multifaceted, institution-wide, and unit-specific programs using educational strategies may affect institutional antimicrobial use and resistance but not imported resistance."
  July 2008 ,Medscape Medical News,Multidrug-Resistant Phenotype Linked to Adverse Outcomes,Determining resistance phenotypes or genes and their effect on clinical outcomes may help in devising strategies to modify the effect of multidrug-resistant Acinetobacter species on healthcare delivery systems.
  July 2008 ,Medscape Medical News,Household Antibacterial Product Use May Promote Microbial Resistance,A study showed that use of antibacterial products may lead to decreased susceptibility to other antibacterial ingredients and antibiotic resistance in the home.
  July 2008 ,Medscape Medical News,"Reduced Hygiene, Illicit Drug Use Linked to CA-MRSA in MSM",A case-control study in MSM showed that reduced hygiene and use of crystal methamphetamine were associated with community-associated methicillin-resistant Staphylococcus aureus infection.
  June 2008 ,Medscape Medical News,Antibiotic Resistance Among Uropathogenic E coli May Be Increasing,"A study involving college students showed that resistance to ciprofloxacin has doubled since 1999, although trimethoprim/sulfamethoxazole resistance has changed little."
  February 2008 ,Medscape Medical News,Antimicrobial Use Frequent in End-Stage Dementia,"A new study shows frequent use of antimicrobials in patients with advanced dementia, particularly in the last 2 weeks of life. These findings, the authors say, raise questions about the use of antibiotics in elderly patients with end-stage dementia."
  January 2008 ,Medscape Medical News,What Your Patients are Reading: Calcium Supplements May Increase MI Risk,"Recent news stories have examined links between calcium supplements and risk for MI, between the combination of ezetimibe and simvastatin and the statin alone, and between gay men and multidrug-resistant CA-MRSA, as well as studying the safety of meat from cloned meats animals, and the creation in a laboratory of a beating rat heart."
  November 2007 ,Medscape Medical News,Incidence of CA-MRSA Increasing in Ocular Isolates,The conjunctiva and eyelids may serve as potential reservoirs for community-acquired methicillin-resistant Staphylococcus aureus found in ocular isolates.
  November 2007 ,Medscape Medical News,Multidrug-Resistant Tuberculosis Increasing in Texas,"Asymptomatic carriers of tuberculosis are the most difficult cases to diagnose; better diagnostic tools are needed, a researcher says."
  October 2007 ,Medscape Medical News,Targeted Cleaning May Help Decrease MRSA Contamination and Transmission,"A review suggests that rather than focusing on hand-hygiene compliance, hospitals should consider using targeted cleaning to decrease methicillin-resistant Staphylococcus aureus contamination and transmission."
  September 2007 ,Medscape Medical News,Aerosolized Hydrogen Peroxide May Counter MRSA Environmental Contamination,Aerosolized hydrogen peroxide can neutralize methicillin-resistant Staphylococcus aureus residing on all surfaces and appears to last for weeks.
  June 2007 ,Medscape Medical News,CDC Guidelines for Exposure to XDR-TB,The new guidelines address the management of people with a positive QuantiFERON-TB Gold or tuberculosis skin test.
  March 2007 ,Medscape Medical News,Risk for Invasive MRSA Multiplied 100-Fold in Dialysis Patients,Healthcare providers should follow guidelines to prevent MRSA transmission and antimicrobial resistance.
  March 2006 ,Medscape Medical News,Highlights From MMWR: Rate of TB Decline Slows in US and More,The CDC has reported on trends in US tuberculosis rates and health risk disparities between foreign- vs US-born adults.
  January 2005 ,Medscape Medical News,Isolation Practices May Not Be Needed for ICU Patients With MRSA,Findings from a prospective study suggest that guidelines to reduce spread of methicillin-resistant Staphylococcus aureus in intensive-care units should therefore be reassessed.
  May 2003 ,Medscape Medical News,Small Study Suggests Linezolid Effective for Multidrug-Resistant TB,Drug is well-tolerated with a mean time to conversion of 40 days.
  May 2003 ,Medscape Medical News,Newly Diagnosed TB Patients at Risk of Fluoroquinolone Resistance,Mistaking tuberculosis for pneumonia or other infections exposes many patients to fluoroquinolone treatment before TB diagnosis.
  May 2003 ,Medscape Medical News,Linezolid May Provide Survival Advantage Over Vancomycin in MRSA Pneumonia,"Linezolid-treated patients double their chances for survival, according to this post-hoc analysis."
  February 2003 ,Medscape Medical News,Aggressive Measures Can Eliminate MRSA,Similar strategies may also be useful to control new multiresistant bacteria.
  April 2010 ,WebMD Health News,Gonorrhea Getting Harder to Treat,Antibiotic resistance is pushing gonorrhea toward superbug status.
  March 2010 ,Medscape Medical News,CRP Test Guides Antibiotic Prescribing for Respiratory Tract Infections,"Point-of-care C-reactive protein testing can help clinicians identify which patients will benefit from antibiotic treatment, thereby reducing unnecessary antibiotic prescribing."
  March 2010 ,Medscape Medical News,ID Society Calls for 10 New Antimicrobials by 2020,"With increasing antimicrobial resistance and a paucity of new antimicrobials in the pipeline, the Infectious Diseases Society of America urges various key stakeholders to ramp up research and development."
  March 2010 ,Medscape Medical News,Four Clinical Factors Linked to Low Risk for Bacterial Conjunctivitis,A study shows that a combination of 4 clinical factors predicts low risk for bacterial conjunctivitis and may reduce routine antibiotic drug administration.
  December 2009 ,Reuters Health Information,Procalcitonin Testing Can Cut Antibiotic Use for VAP,A multicenter study shows that a procalcitonin-guided serum measurement strategy can reduce antibiotic overuse in patients with ventilator-associated pneumonia.
  November 2009 ,Medscape Medical News,Gram-Negative Hospital Infections Now Showing Resistance to Polymixin B ,"Resistance is slowly growing to polymixin B, a drug once rejected but brought back to life to treat the growing numbers of resistant gram-negative infections in hospitalized patients. "
