Date,Source,Headlines,Teaser
  August 2002 ,Medscape Infectious Diseases,Highlights From the 12th SHEA,"Highlights include nosocomial prion disease,  control of antimicrobial resistance, and prevention of surgical infection."
  July 2002 ,Medscape Critical Care,Antibiotic-Coated Central Venous Catheters,Rate of infection of antibiotic-coated central venous catheters vs normal catheters?
  June 2002 ,Medscape Pharmacists,Antimicrobial Therapy to Minimize Medication Errors,This article expands the definition of medication errors to include inappropriate/suboptimal use of antimicrobial drugs.
  June 2004 ,Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: June 15, 2004","Dr. Bartlett reviews data on emerging pathogens, infections & transfusion/transplantation, anthrax survivors, SARS, C difficile, trends in antimicrobial drug development, Lyme disease, & more."
  June 2004 ,Medscape Critical Care,Selective Digestive Tract Decontamination for Prevention of Ventilator-Associated Pneumonia in Critically Ill Patients,"Prophylactic administration of antibiotics, including selective digestive tract decontamination, to critically ill patients in an era of antibiotic resistance is a highly contentious practice."
  June 2004 ,Medscape Critical Care,Volume Resuscitation: The Crystalloid vs Colloid Debate Revisited,Will the debate over the use of colloids vs crystalloids in critically ill patients finally come to an end?
  May 2004 ,Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: May 15, 2004","Dr. Bartlett reviews the latest data on influenza, infections associated with cosmetic procedures and surgical implants, emerging ID/pathogens, antibiotic therapies, COPD, and more."
  April 2004 ,Medscape Transplantation,Infectious Diseases in Kidney Transplant Recipients,Over 80% of renal transplant recipients suffer at least 1 case of infection during the first year after transplantation. Early diagnosis and intervention for infectious diseases can improve outcomes.
  April 2004 ,Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: March 31, 2004","Dr. Bartlett reviews the latest data on pneumonia, influenza, and other respiratory infections; sepsis; candidiasis; STDs; antibiotics and breast cancer; MMR & autism; peg-interferon & SARS, and more."
  March 2004 ,Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: March 15, 2004","Dr. Bartlett reviews data on treatment of diabetic foot infections, bacteremia and CAP, endocarditis, treatment of cerebral cysticercosis; H pylori and gastric cancer, SARS genome sequencing, & more."
  March 2004 ,Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: February 29, 2004","Dr. Bartlett reviews the latest data on variant Creutzfeldt-Jakob disease, antimicrobial resistance, and lactobacillus bacteremia."
  February 2004 ,Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: February 15, 2004","Dr. Bartlett reviews the latest data on SARS, influenza, prion diseases, hepatitis B and C, acute infectious diarrhea, CMV, and advances in diagnostics and antimicrobial treatments."
  December 2003 ,Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: December 15, 2003",VRE control in livestock; linezolid vs vancomycin in nosocomial pneumonia; community-acquired MRSA skin infections; malaria prophylaxis; West Nile update; ventilator pneumonia decision analysis & more
  November 2003 ,Medscape Transplantation,Antibiotic Prophylaxis in Liver Transplantation: Another Opinion,What is the current recommendation for antibiotic prophylaxis in liver transplant patients?
  November 2003 ,Medscape Transplantation,Antibiotic Prophylaxis for Liver Transplantation?,What are the current recommendations regarding antibiotic prophylaxis in liver transplant recipients?
  November 2003 ,Medscape Infectious Diseases,Emerging Infections,"Dr. John Bartlett reports on the latest data from IDSA on SARS, monkeypox, and other emerging infectious disease threats."
  November 2003 ,Medscape Infectious Diseases,Prophylactic Strategies for Pediatric Infectious Diseases,"Anne Gershon, MD, reviews new data presented at IDSA concerning the prevention of pediatric infectious diseases by means of vaccines and pharmacotherapeutic interventions."
  November 2003 ,Medscape Infectious Diseases,Antimicrobial Resistance in Community-Acquired Pediatric Infections,"Anne Gershon, MD, reviews new data presented at IDSA concerning drug-resistant community-acquired infections in children."
  November 2003 ,Medscape Infectious Diseases,"New Organisms, New Drugs, New Tests, New Guidelines: What Do You Really Need to Know?","What do infectious disease clinicians need to take away from IDSA? Henry Masur, MD, provides a succinct overview of key clinical data and discussions from this important annual meeting."
  August 2003 ,Medscape Critical Care,Linezolid Use in Outpatient Therapy,"Are you worried about using linezolid on an outpatient to treat methicillin-resistant Staphylococcus aureus, considering the static properties of the drug and the potential to cause resistance?"
  July 2003 ,Medscape Critical Care,Effective Treatment of Enterococcal Infections,"How safe is it to treat enterococcal infection with amoxicillin-clavulanate, from UTI to sepsis?"
