Date,Source,Headlines,Teaser
" April, 2001 ",Southern Medical Journal,Isolated Septic Arthritis,"Streptococcus pneumoniae is a common cause of infection in the pediatric population, as well as an important cause of septic arthritis."
" December, 2001 ",Southern Medical Journal,Group B Streptococcal Bacteremia,Compare the clinical findings of patients with group B streptococcal bacteremia in the 1990s with those from the 1980s.
" June, 2002 ",Medscape Medical News,Linezolid as Effective as Vancomycin for MRSA,Switching to the oral route within 5 days substantially cuts costs.
" June, 2002 ",Medscape Pharmacists,Antimicrobial Therapy to Minimize Medication Errors,This article expands the definition of medication errors to include inappropriate/suboptimal use of antimicrobial drugs.
" July, 2002 ",Emerging Infectious Diseases,Temporal Changes in Prevalence of Antimicrobial Resistance,Excessive quinolone use and inadequate infection-control practices may explain observed trends.
" July, 2002 ",Emerging Infectious Diseases,"Antibiotic Resistance of Gram-Negative Bacteria in Rivers, US","The most common organisms were Acinetobacter, Alcaligenes, Citrobacter, Enterobacter, Pseudomonas, and Serratia."
" July, 2002 ",Emerging Infectious Diseases,Monitoring Antimicrobial Use and Resistance,Changes in prescriber practice were associated with significant decreases in vancomycin use and VRE prevalence.
" July, 2002 ",Medscape Critical Care,Antibiotic-Coated Central Venous Catheters,Rate of infection of antibiotic-coated central venous catheters vs normal catheters?
" August, 2002 ",Medscape Infectious Diseases,Highlights From the 12th SHEA,"Highlights include nosocomial prion disease,  control of antimicrobial resistance, and prevention of surgical infection."
" October, 2002 ",Medscape Medical News,Antibiotic-Resistant Staph Moves Outside Hospital,"In communities in which 10% or more of the S. aureus infections are resistant, physicians should use vancomycin or clindamycin as the first-line treatment for serious infections."
" January, 2003 ",Medscape Medical News,Universal Screening for MRSA Recommended for ICU Admissions,"The high prevalence of MRSA carriage makes this beneficial, according to results of a prospective multicenter study and cost-benefit analysis."
" February, 2003 ",Medscape Medical News,Aggressive Measures Can Eliminate MRSA,Similar strategies may also be useful to control new multiresistant bacteria.
" February, 2003 ",Seminars in Respiratory and Critical Care Medicine,Global Epidemiology of Antimicrobial Resistance,Antimicrobial resistance continues to evolve and presents serious challenges in the therapy of both nosocomial and community-acquired infections.
" April, 2003 ",Emerging Infectious Diseases,Antimicrobial Drug Prescriptions in Ambulatory-Care Settings,"With the emergence of antimicrobial resistance, the use of antimicrobial drugs has increased in both inpatient and outpatient settings"
" May, 2003 ",Medscape Medical News,Linezolid May Provide Survival Advantage Over Vancomycin in MRSA Pneumonia,"Linezolid-treated patients double their chances for survival, according to this post-hoc analysis."
" May, 2003 ",Medscape Medical News,Newly Diagnosed TB Patients at Risk of Fluoroquinolone Resistance,Mistaking tuberculosis for pneumonia or other infections exposes many patients to fluoroquinolone treatment before TB diagnosis.
" May, 2003 ",Medscape Medical News,Small Study Suggests Linezolid Effective for Multidrug-Resistant TB,Drug is well-tolerated with a mean time to conversion of 40 days.
" May, 2003 ",Pharmacotherapy,Assessment of Differences in Antimicrobial Effect,The objective of this collaborative pilot study is to measure the influence of different surface area:volume ratios (SA:Vs) on antibiotic penetration and subsequent antibacterial effect.
" July, 2003 ",Medscape Critical Care,Effective Treatment of Enterococcal Infections,"How safe is it to treat enterococcal infection with amoxicillin-clavulanate, from UTI to sepsis?"
" August, 2003 ",Pharmacotherapy,Pharmacokinetics of Meropenem,Considerable interest has been generated in maximizing the pharmacodynamic properties of antimicrobial agents in the clinical setting in order to optimize patient outcomes and prevent the emergence of resistant organisms.
" August, 2003 ",Dermatology Nursing,Antibiotic Resistance of Propionibacterium acnes in Acne,Nine key recommendations are offered to limit antibacterial resistance of P. acnes.
" August, 2003 ",Medscape Critical Care,Linezolid Use in Outpatient Therapy,"Are you worried about using linezolid on an outpatient to treat methicillin-resistant Staphylococcus aureus, considering the static properties of the drug and the potential to cause resistance?"
" August, 2003 ",Wounds,Fibroblast Gel Contraction Model to Assess Cytotoxicity,"Since the introduction of a fibroblast-populated collagen lattice in the late 1970s, this type of in-vitro model has been extensively used to study fibroblast function."
" November, 2003 ",Medscape Infectious Diseases,"New Organisms, New Drugs, New Tests, New Guidelines: What Do You Really Need to Know?","What do infectious disease clinicians need to take away from IDSA? Henry Masur, MD, provides a succinct overview of key clinical data and discussions from this important annual meeting."
" November, 2003 ",Medscape Infectious Diseases,Antimicrobial Resistance in Community-Acquired Pediatric Infections,"Anne Gershon, MD, reviews new data presented at IDSA concerning drug-resistant community-acquired infections in children."
" November, 2003 ",Medscape Infectious Diseases,Prophylactic Strategies for Pediatric Infectious Diseases,"Anne Gershon, MD, reviews new data presented at IDSA concerning the prevention of pediatric infectious diseases by means of vaccines and pharmacotherapeutic interventions."
" November, 2003 ",Medscape Infectious Diseases,Emerging Infections,"Dr. John Bartlett reports on the latest data from IDSA on SARS, monkeypox, and other emerging infectious disease threats."
" November, 2003 ",Medscape Transplantation,Antibiotic Prophylaxis for Liver Transplantation?,What are the current recommendations regarding antibiotic prophylaxis in liver transplant recipients?
" November, 2003 ",Medscape Transplantation,Antibiotic Prophylaxis in Liver Transplantation: Another Opinion,What is the current recommendation for antibiotic prophylaxis in liver transplant patients?
" December, 2003 ",Pharmacotherapy,Optimizing Antibiotic Use in Hospitals,Hospital-based pharmacists have long recognized that antibiotic use appears to be related to decreased bacterial susceptibility reported on antibiograms and to the development of nosocomial infections caused by resistant pathogens.
" December, 2003 ",Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: December 15, 2003",VRE control in livestock; linezolid vs vancomycin in nosocomial pneumonia; community-acquired MRSA skin infections; malaria prophylaxis; West Nile update; ventilator pneumonia decision analysis & more
" January, 2004 ",Pharmacotherapy,Investigational Antimicrobials for Multidrug-Resistant Bacteria,The emergence of and growth in antimicrobial resistance among gram-positive microorganisms complicate the treatment of infections due to such pathogens.
" February, 2004 ",Medscape General Medicine,Eradication of Helicobacter pylori: A Clinical Update,"Marco Romano, MD, and Antonio Cuomo, MD, discuss the current state of the field regarding H pylori infection, with a view toward future strategies of eradication."
" February, 2004 ",Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: February 15, 2004","Dr. Bartlett reviews the latest data on SARS, influenza, prion diseases, hepatitis B and C, acute infectious diarrhea, CMV, and advances in diagnostics and antimicrobial treatments."
" March, 2004 ",Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: March 15, 2004","Dr. Bartlett reviews data on treatment of diabetic foot infections, bacteremia and CAP, endocarditis, treatment of cerebral cysticercosis; H pylori and gastric cancer, SARS genome sequencing, & more."
" March, 2004 ",Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: February 29, 2004","Dr. Bartlett reviews the latest data on variant Creutzfeldt-Jakob disease, antimicrobial resistance, and lactobacillus bacteremia."
" April, 2004 ",Emerging Infectious Diseases,Antimicrobial Resistance Gene Delivery in Animal Feeds,Another antimicrobial drug turns into a promicrobial drug.
" April, 2004 ",Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: March 31, 2004","Dr. Bartlett reviews the latest data on pneumonia, influenza, and other respiratory infections; sepsis; candidiasis; STDs; antibiotics and breast cancer; MMR & autism; peg-interferon & SARS, and more."
" April, 2004 ",Medscape Transplantation,Infectious Diseases in Kidney Transplant Recipients,Over 80% of renal transplant recipients suffer at least 1 case of infection during the first year after transplantation. Early diagnosis and intervention for infectious diseases can improve outcomes.
" May, 2004 ",Medscape General Medicine,Survey: Usage of Antimicrobial Agents in Southern Part of India,"Antimicrobial resistance is a serious public health concern worldwide. Inappropriate prescribing, including the wrong drug, incorrect dose/duration, and poor compliance, contributes to it."
" May, 2004 ",Emerging Infectious Diseases,Antimicrobial Resistance in Commensal Flora of Pig Farmers,Higher prevalence of antimicrobial-resistant bacteria in commensal flora contributes to the general increase and dissemination of bacterial resistance worldwide.
" May, 2004 ",Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: May 15, 2004","Dr. Bartlett reviews the latest data on influenza, infections associated with cosmetic procedures and surgical implants, emerging ID/pathogens, antibiotic therapies, COPD, and more."
" May, 2004 ",Journal of the American Board of Family Medicine,Antibiotic Overprescription for Upper Respiratory Infections,"Despite a downward trend in antibiotic prescribing over theyears, overprescription is still a common problem."
" May, 2004 ",Journal of the American Board of Family Medicine,Community-Acquired Methicillin-Resistant Staphylococcus Aureus,A new multi-drug resistant variant of staph infection isbecoming more prevalent in community settings from athletic teams to prisons.
" June, 2004 ",Medscape Critical Care,Volume Resuscitation: The Crystalloid vs Colloid Debate Revisited,Will the debate over the use of colloids vs crystalloids in critically ill patients finally come to an end?
" June, 2004 ",Medscape Critical Care,Selective Digestive Tract Decontamination for Prevention of Ventilator-Associated Pneumonia in Critically Ill Patients,"Prophylactic administration of antibiotics, including selective digestive tract decontamination, to critically ill patients in an era of antibiotic resistance is a highly contentious practice."
" June, 2004 ",Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: June 15, 2004","Dr. Bartlett reviews data on emerging pathogens, infections & transfusion/transplantation, anthrax survivors, SARS, C difficile, trends in antimicrobial drug development, Lyme disease, & more."
" July, 2004 ",Pharmacotherapy,Antimicrobial Stewardship Programs,"A review of recent literature concerning the impact of antimicrobial stewardship programs on costs, outcomes, and resistance and summarize important considerations for implementation of these programs"
" July, 2004 ",Emerging Infectious Diseases,Multidrug-Resistant Salmonella,What factors have contributed to the development of this alarming strain of salmonella?
" August, 2004 ",Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: August 31, 2004","Dr. Bartlett reviews the recent data on conjunctivitis, COPD, MRSA epidemiology, pneumococcal pneumonia, osteomyelitis, Asian influenza, and more."
" August, 2004 ",Medscape Infectious Diseases,"Bartlett Infectious Diseases: August 15, 2004","Dr. Bartlett reviews the latest data on antimicrobial prophy for surgery, daptomycin for complicated skin infections, rabies in transplant recipients, antibiotic resistance/anaerobic bacteria, & more."
" August, 2004 ",Emerging Infectious Diseases,"Antimicrobial Drug Use & MRSA, Aberdeen, 1996-2000",Over 40% of all staphylococcus cases in the UK are caused by MRSA. What measures are being taken to control outbreaks?
" September, 2004 ",Medscape Infectious Diseases,"Bartlett Infectious Diseases Review: September 15, 2004","Dr. Bartlett reviews the latest data on Crohn's disease, syphilis, ventilator-associated pneumonia, inhalational anthrax, nosocomial bloodstream infections, and variant Creutzfeldt-Jakob disease."
" October, 2004 ",Medscape Infectious Diseases,"Bartlett HIV/AIDS Review, October 15, 2004","Dr. Bartlett reviews the latest data on drug resistance, rabies in transplant recipients, bacterial sinusitis, control of antimicrobial-resistant pathogens, vulvovaginal candidiasis, and more."
" October, 2004 ",Emerging Infectious Diseases,Fluoroquinolone Resistance in Penicillin-resistant Streptococcus,"This new report on the local epidemiology of fluoroquinolone-resistant pneumococci, and the possible dissemination of international clones, characterizes all ciprofloxacin-resistant S. pneumoniae stra"
" October, 2004 ",Medscape Infectious Diseases,"Infectious Diseases: October 30, 2004","Dr. Bartlett reviews the latest on influenza, antibiotic tx guidelines, MRSA, hepatitis B, West Nile virus, smallpox vaccination, Crohn's disease, C difficile, prions, rhinovirus, & more."
