Date,Source,Headlines,Teaser
  October 2009 ,Medscape Medical News,Central Review Makes Clinical Trials Approval Process More Efficient,"The use of the National Cancer Institute's Central Institutional Review Board was associated with less effort, time, and cost in processing adult phase 3 oncology trials."
  September 2009 ,Heartwire from Medscape,Quality of Medical Literature,Two new studies cast some negative light on the quality and completeness of medical literature.
  August 2009 ,Medscape Medical News,Disclosure to Research Participants May Not Manage Conflicts of Interest,A study offers recommendations for establishing sound policy and practices regarding how best to disclose financial conflicts of interests to potential participants in clinical research.
  August 2009 ,Medscape Medical News,"Lung Cancer Research Hampered by Drug Trials Producing Small Gains, Study Says","Using a mathematical model, scientists show that small molecular studies are needed to advance lung cancer research and extend patient survival."
  June 2009 ,Medscape Medical News,Should Experimental Cancer Therapies Be Available Outside Clinical Trials?,There is patient demand for experimental therapies outside of clinical trials but there is also considerable variation in practice and attitudes about this issue among oncologists.
  June 2009 ,Medscape Medical News,Development Time of Cancer Clinical Trials Linked to Accrual Goals,"The longer an oncology clinical trial takes to develop, the less likely it is to meet its minimum patient accrual goal. New data show that 40% of NCI-CTEP trials failed to meet enrolment goals."
  June 2009 ,Medscape Medical News,Investigational Targeted Therapy for Metastatic Melanoma Shrinks Tumors,The treatment options for metastatic melanoma are limited and are not broadly effective. A new investigational agent could change that status.
  June 2009 ,Medscape Medical News,Investigational Agent for Metastatic Triple-Negative Breast Cancer Hailed,"Currently, there are limited treatment options for metastatic triple-negative breast cancer, but a potential new agent is on the horizon."
  April 2009 ,Medscape Medical News,Agent Prolongs Latency in Premature Ejaculation,Agent Prolongs Latency in Premature Ejaculation
  April 2009 ,Medscape Medical News,Intradermal Avotermin Improves Appearance of Scars in Early Clinical Trials,"Intradermal injection of avotermin, a clinical application of transforming growth-factor beta 3, has the potential to provide accelerated improvement in scarring."
  April 2009 ,WebMD Health News,New Drug Targets Advanced Prostate Cancer,An experimental drug called MDV3100 may slow advanced prostate cancer.
  February 2009 ,Medscape Medical News,Minorities Still A Minority in Clinical Trials,"Minorities continue to be underrepresented in clinical trials, and provider incentives for recruiting minority enrollment are ineffective."
