Date,Source,Headlines,Teaser
  August 2000 ,Medscape Pharmacotherapy,MEDLINE Abstracts: Thalidomide Clinical Trials,A regularly updated reference resource summarizing dosing and resistance data on investigational agents.
  January 2002 ,Medscape HIV/AIDS,Quick Reference Guide to New Antiretrovirals,I would like to know more about targeted antifolate and onconase  therapy in mesothelioma of the lung.
  May 2000 ,Medscape Oncology,Ask the Experts - Investigational Agents for Mesothelioma?,Update of important ongoing and completed clinical trials in heart failure patients.
  September 2009 ,Medscape Cardiology,Comparing Therapies Among Patients With Diabetes and CAD -- BARIng in Mind Any Differences,"Henry Black, MD, looks at the BARI 2D results and believes that we're pretty good at sorting out differences in therapies but pities the poor clinician who must decide on best options. "
  June 2009 ,Medscape Nurses,The Participation of Women in Clinical Trials,Women have historically been underrepresented in phase 1 clinical drug trials.
  May 2009 ,Medscape Oncology,Please Take This Important Survey About Cancer Clinical Trials,"In this video blog, Dr. Maurie Markman urges clinicians to take the Medscape Oncology survey, results of which will inform the national discussion and help answer critical questions."
  February 2009 ,Medscape Oncology,Cancer Patients May Be Willing to Participate in Clinical Trials,"In this video blog, Dr. Maurie Markman observes that many cancer patients are willing to consider a clinical trial if the purpose and specifics of the study are explained clearly."
  December 2008 ,The Medscape Journal of Medicine,"A Reader Responds to ""The Myth of Equipoise in Phase 1 Clinical Trials""",A reader argues that the use of the equipoise (uncertainty) argument to justify the conduct of research is a moral balm applied to soothe the conscience of research sponsors and researchers alike.
  December 2008 ,Medscape Oncology,Real-World Results Are Often Better Than Clinical Trials Suggest,"In this video blog, Dr. John Marshall reflects on new data and evolving experience with bevacizumab in real patients with colorectal cancer."
  November 2008 ,Medscape Med Students,How Can I Get Involved in Research?,"I would like to be a research assistant or pursue my own research project. How can I find a suitable professor to work with, and how should I approach one?"
  July 2008 ,Medscape Cardiology,News From Clinical Trials in Multifactorial Hypertension,"ASH 2008: Substudy and other data from the ON-TARGET, TRANSCEND, AASK, ACCORD, EXCEED, and ACCOMPLISH trials."
  June 2008 ,Medscape Cardiology,When Endpoints Are Too Hard and Surrogates Must Do,"When are hard endpoints (eg, death) too hard to include in a clinical trial -- and what will serve as surrogates? Henry Black explains."
  September 2007 ,Medscape Cardiology,ESH '07: New Insights From Clinical Trials of Angiotensin Receptor Blockers,ESH 2007: Trial results from MORE and CASE-J show benefits for ARB therapy in treating hypertensive patients with atherosclerosis or renal dysfunction -- and perhaps even with atrial fibrillation.
  October 2004 ,Medscape Cardiology,A Concern About Some Clinical Trials,"J. Willis Hurst, MD, MACP"
  September 2004 ,Medscape Pharmacists,Clinical Trials,Our pharmacy is conducting a double-blind clinical trial that includes a colored IV medication vs IV placebo. What can we do to avoid this color differentiation and to keep the trial double-blind?
  October 2002 ,Medscape Cardiology,Clinical Trials and Evidence-Based Medicine,"No thinking person doubts the value of properly  implemented clinical trials, and every thinking physician  believes in evidence-based medicine."
  July 2002 ,Medscape Cardiology,Implementation of the Results of Clinical Trials,No one doubts the enormous value of clinical trials or  the emphasis that is placed on evidence-based  medicine.
  July 2010 ,Medscape Oncology,Is Mandatory Biopsy in Clinical Trials Justifiable?,Dr. Kathy Miller weighs the ethical concerns about requiring biopsies to participate in breast cancer clinical trials against the critical gains in therapeutic efficacy those biopsies permit.
  July 2010 ,Medscape Oncology,The Dumbing Down of US Oncologists,Dr. John Marshall asks whether US oncologists are going to once again become leaders in clinical research or be content to take a back seat to European investigators.
  July 2010 ,Medscape Psychiatry,The Spin Cycle in Scientific Publishing,"Dr. Leslie Citrome reviews a new study in JAMA investigating the frequency of ""spin"" in published reports of randomized controlled trials."
  June 2010 ,Medscape Oncology,What Will It Take to Maximize Personalized Medicine?,Dr. Maurie Markman and Dr. Richard Schilksy discuss the factors needed to develop and maximize the use of molecularly targeted treatments.
  June 2010 ,Medscape Oncology,ASCO® 2010 Wrap-up: Converting Cancer to a Chronic Disease,"A roundtable discussion between Dr. Maurie Markman, Dr. Kathy Miller, Dr. John Marshall, Dr. Mark Kris, and Dr. Richard Schilsky highlighting issues arising from the ASCO 2010 presentations."
  June 2010 ,Medscape Business of Medicine,Top Scientific Papers vs  Furry Green Slippers: Which Should You Trust?,"Andrew Vickers, PhD, our regular columnist on statistics, walks the streets of Brooklyn, searching for clinically relevant statistics at a tag sale."
  June 2010 ,Medscape Business of Medicine,How to Start Doing Office-Based Clinical Trials,"Physicians looking for new revenue sources and patient services should consider conducting clinical trials, which bring in revenue and are valuable services."
  June 2010 ,Medscape Business of Medicine,Clinical Trials Can Boost Your Bottom Line ,Office-based physicians can earn significant revenue by conducting clinical trials. Here's a look at the pros and cons to decide whether trials are right for a practice.
  May 2010 ,Medscape Psychiatry,Psychiatric Drug Development: Why So Slow?,"Dr. Jeffrey A. Lieberman discusses the slow nature of psychotropic drug development, the need for novel treatments, and the recession's impact on therapeutic advances in psychiatry. "
  April 2010 ,Medscape Nurses,Multicultural Research Instruments,"Nursing research is expanding around the globe, and the need for research instruments that cross cultures is becoming apparent."
  March 2010 ,Medscape Business of Medicine,Are You Smarter Than a Fifth-Grade Scientist?,Dr. Andrew Vickers criticizes the lack of replication studies in the published literature.
  March 2010 ,Medscape Oncology,Placebo Eases Cancer-Related Fatigue ,"Over half of patients in trials of cancer-related fatigue have a placebo response, indicating to Dr. Maurie Markman the importance of randomized phase 3 trials for therapy of cancer-related fatigue."
  March 2010 ,Medscape Oncology,Healthcare Reform: Potential Impact on the Cancer Patient,The passage of the healthcare reform bill could benefit cancer patients in 2 important ways. Dr. Maurie Markman discusses the impact the bill could have on future cancer care.
  March 2010 ,Medscape Business of Medicine,"To Err Is Human, to Forgive Is Statistical",Dr. Andrew Vickers explains why the results of flawed studies don't necessarily need to be discarded.
  December 2009 ,Medscape Oncology,Mining the Data of Clinical Trials,"Re-examining clinical data proves a goldmine of new information for other areas of cancer study, as examined by Dr. Kathy Miller in this video blog from SABCS."
  December 2009 ,Medscape Nurses,How To Make Sense of Qualitative Research Findings,"If you are unsure about how qualitative research fits into evidence-based practice, this article is for you."
  October 2009 ,Medscape Oncology,Barriers to Physician Participation in Cancer Clinical Trials: Results of a Web-Based Survey of Providers,HCPs play a critical role in facilitating patient participation in cancer clinical trials. Dr. Markman's Web-based survey identifies perceived barriers and innovative ways to improve participation.
  September 2009 ,Medscape Psychiatry,Key Areas for Future Research Within Child and Adolescent Psychiatry,Dr. Robert Findling outlines 3 key research areas in child and adolescent psychiatry that should be pursued vigorously.
  September 2009 ,Medscape Med Students,An Ode to Library Science,"Thank goodness for people like ""Laika Spoetnik"" who take the pain out of medical research."
  September 2009 ,Medscape Family Medicine,Comparative Effectiveness Research and the Medical Home,"Does comparative effectiveness research mean the end of individualized medicine, or is it an ideal partner with the medical home for reforming primary care?"
  January 2011 ,Medscape Business of Medicine,Five Ways to Help Patients Choose Their Prostate Treatment,Patients are often stymied by having to decide which prostate cancer treatment to go with; but doctors can help make the decisions easier for patients.
  December 2010 ,Medscape Oncology,"George Sledge, MD: How to Channel Your Inner McGuire","Dr. George Sledge, recipient of the William L. McGuire Memorial Lecture, discusses with Dr. Kathy Miller the lessons learned from Bill McGuire about translational research."
  November 2010 ,Medscape Oncology,"Pink Ribbons: The Good, the Bad, and the Backlash","Pink ribbons have raised awareness for breast cancer, but Dr. Kathy Miller sees a downside to the symbol and advocates that national focus be directed to research into all cancers, not just the pink kind."
  November 2010 ,Medscape Oncology,Lessons From the Wright Brothers -- and Cancer Cells ,Dr. Kathy Miller sees a parallel between the approach used by the Wright brothers to achieve flight and the ability of cancer cells to proliferate -- both provide a lesson for scientific discovery.
  November 2010 ,Medscape Genomic Medicine,Exploring the Effects of CYP2C19 Variants on Clopidogrel Metabolism,Do CYP2C19 variants influence clopidogrel metabolism in all clinical settings? Drs. Deepak Voora and Svati Shah look at a study from The New England Journal of Medicine that explores this question.
  October 2010 ,Medscape Nurses,The Quality of Peer Review of Nursing Research,A study finds flaws in the peer review of manuscripts submitted to a high-impact nursing research journal.
  October 2010 ,Medscape Internal Medicine,More Mammography Studies -- Will They Resolve the Debate? A Response From the ACR,"Medscape talks to Carol H. Lee, MD, Chair of the ACR Breast Imaging Commission, about 2 new studies on mammography and other aspects of breast cancer screening."
  October 2010 ,Medscape Business of Medicine,Dramatic Mammography Development: Radiologist Calls for More Radiology,Dr. Andrew Vickers assesses a Swedish study on mammography that showed survival benefits but he questions whether it ends the debate.
  October 2010 ,Medscape Business of Medicine,Should You Conduct Clinical Trials? What You Need to Know,Clinical trials can offer new patient treatments as well as a source of revenue for physicians who decide to conduct clinical trials within their practices.
  October 2010 ,Medscape Nephrology,"Pharm Issues: Furosemide Shortage, New Iron Preparation, and More","Dr. Jeff Berns reports on drug releases, recalls, and research that affect the care of nephrology patients."
  September 2010 ,Medscape Business of Medicine,Caution: Quality of Life Studies Can Be Detrimental to Your Quality of Life,Dr. Andrew Vickers explains why so many interventions appear to fail at improving quality of life.
  September 2010 ,Medscape Oncology,Can Cancer Be Cured by Combination Therapy?,The emphasis in clinical cancer trials on using combination therapies to shut down the EGFR pathway prompts Dr. John Marshall to ask whether this approach represents progress or a return to a failed past.
  September 2010 ,Medscape HIV/AIDS,A Promising New Investigational Integrase Inhibitor for HIV,"Exciting new reports at IAS 2010 focused on an investigational once-daily drug, currently referred to as ""572."" Paul E. Sax, MD, suggests readers stay tuned for more in the coming months."
  September 2010 ,Medscape Pulmonary Medicine,Can You Believe It? Evidence of Publication Bias in Clinical Trial Reports,A study assesses whether funding source bears any relationship to pharmaceutical trial outcomes or likelihood of publication.
  September 2010 ,Medscape Anesthesiology,Become a Full Professor  Before 42,"Dr. Alex Macario shares his long-term plan for academic and research success in medicine, but frankly, there is good advice here for professionals in other healthcare fields as well."
