Date,Source,Headlines,Teaser
" May, 2000 ",Medscape Oncology,Ask the Experts - Investigational Agents for Mesothelioma?,Update of important ongoing and completed clinical trials in heart failure patients.
" August, 2000 ",Medscape Pharmacotherapy,MEDLINE Abstracts: Thalidomide Clinical Trials,A regularly updated reference resource summarizing dosing and resistance data on investigational agents.
" January, 2001 ",The AIDS Reader®,IRB/FDA Requirements Relevant to HIV/AIDS Clinical Trials,"During the past few years, a number of abuses have been committed in clinical trials."
" January, 2001 ",The AIDS Reader®,HIV Clinical Trials in Correctional Settings: Right or Retrogression?,"Explore the advancements in clinical trial methodology, their utility in establishing treatment guidelines, and their impact on medical practice."
" January, 2001 ",Pharmacy Today,Genome Map Spurring Drug Development Ahead of Schedule,Review the Office for Human Research Protections and FDA guidelines relevant to the conduct of HIV/AIDS clinical trials in correctional facilities.
" March, 2001 ",Cancer Control: Journal of the Moffitt Cancer Center,Resources on the Web - Searching for Information on Clinical Trials,Does the right of incarcerated prison and jail inmates to healthcare include access to clinical trials?
" June, 2001 ",Seminars in Neurology,Clinical Trials in ALS: An Overview,"Women's participation in clinical trials, particularly those involving drugs, has been said to be both overrepresented and underrepresented. Studies of participation are compared and contrasted to elucidate some reasons for this contradiction."
" June, 2001 ",Abstracts in Hematology & OncologyTM,Urothelial Cancer: A Phase II Trial,A study evaluates efficacy and toxicity in previously untreated patients with advanced transitional cell carcinoma.
" June, 2001 ",American Heart Journal,Randomized Clinical Trials and Recent Patterns,"Some of the revolutionary drugs expected from human genome research may reach the pharmacy shelf sooner than expected, according to Francis Collins, MD, director of the National Human Genome Research Institute at the National Institutes of Health."
" June, 2001 ",American Heart Journal,Randomized Clinical Trials and Recent Patterns in the Use of Statins,An excellent information Web site for clinical trials is now available.
" August, 2001 ",Pharmacotherapy,Investigational Antifungal Agents,"Although the market for lipid-lowering medications is dominated by statins, the rise in statins predated the recent clinical trials supporting their use."
" October, 2001 ",Medscape General Medicine,Participation of Women in Clinical Trials of Drug Therapies,"Several new antifungal agents, including novel compounds in familiar classes and entirely new classes targeting previously untapped mechanisms, are in various stages of the drug development process."
" December, 2001 ",Southern Medical Journal,The Female Patient: Selected Ongoing Clinical Trials,"The following trials are designed to help physicians keep up to date on the topics of cervical cancer, and more."
" January, 2002 ",Southern Medical Journal,Selected Ongoing Clinical Trials,The following clinical trials are designed to help physicians treat diabetes as well as their potential complications.
" January, 2002 ",Medscape HIV/AIDS,Quick Reference Guide to New Antiretrovirals,I would like to know more about targeted antifolate and onconase  therapy in mesothelioma of the lung.
" May, 2002 ",Southern Medical Journal,Selected Ongoing Clinical Trials,The following trials are designed to help physicians treat thyroid dysfunction.
" June, 2002 ",Southern Medical Journal,Selected Ongoing Clinical Trials,The following trials are designed to help physicians treat osteoporosis.
" July, 2002 ",Medscape Cardiology,Implementation of the Results of Clinical Trials,No one doubts the enormous value of clinical trials or  the emphasis that is placed on evidence-based  medicine.
" July, 2002 ",Neurosurgical Focus,Outcome Measures for Clinical Trials in Neurotrauma,More than 40 years have passed since the first therapeutic trials were designed to test the ability of medications to improve outcome after severe TBI.
" July, 2002 ",Medscape General Medicine,Medscape Psychopharmacology Today,Development process for drugs
" October, 2002 ",Medscape Cardiology,Clinical Trials and Evidence-Based Medicine,"No thinking person doubts the value of properly  implemented clinical trials, and every thinking physician  believes in evidence-based medicine."
" February, 2003 ",Neurosurgical Focus,Convection-Enhanced Delivery in Clinical Trials,"The poor prognosis associated with malignant primary brain tumors treated with conventional therapies such as surgery, radiotherapy, and chemotherapy has led investigators to develop new innovative therapies."
" June, 2003 ",Medscape General Medicine,"Subgroup Analysis, Sex Differences, and Clinical Trials",This report presents some of the current debate  regarding the design of clinical trials and the analysis  of resulting data to accurately and efficiently detect sex  differences.
