Date,Source,Headlines,Teaser
  April 2002 ,Topics in Advanced Practice Nursing eJournal,Teenagers With Sickle Cell Disease,How can we improve care for teenagers with SCD pain?
  April 2002 ,Topics in Advanced Practice Nursing eJournal,Complex Regional Pain Syndrome,"Complex regional pain syndrome is not well understood in children, probably due to underdiagnosis."
  March 2002 ,Southern Medical Journal,Ketorolac for Pain Management,"Could a simple NSAID be used to prevent undesirable opioid effects on respiratory, cardiovascular, and CNS function?"
  February 2002 ,Pharmacotherapy,Management of Opioid-Induced Gastrointestinal Effects,Awareness of side effects when managing pain with opioids in terminally ill patients greatly improves treatment quality.
  December 2001 ,Current Medical Research and Opinion,Cizolirtine Citrate in the Treatment of Chronic Neuropa,Learn more about a novel non-opioid analgesic that has shown efficacy in animal models of chronic neuropathic pain.
  November 2001 ,Journal of the Southern Orthopaedic Association,Isthmic Spondylolisthesis and Spondylolysis,"Despite the large number of treatment options available, specific recommendations for treatment can be made."
  July 2003 ,Spine,Large-Array Surface Electromyography In Low Back Pain,Low back pain affects an estimated 30 million working Americans each year.
  July 2003 ,Spine,Osteopathic Manipulative Treatment for Chronic Low Back Pain,"It is estimated that 15% to 20% of the U.S. population experiences low back pain annually, and that at any given time, 2% of the population is disabled because of back problems."
  July 2003 ,Southern Medical Journal,Septic Discitis,"Septic discitis is a rare cause of back pain, accounting for less than 0.01% of cases in the primary care setting."
  June 2003 ,Spine,Physical Impairment Index,"Several studies have confirmed the generally low correlations among pain, disability, work status, and physical impairment in patients with low back pain (LBP)."
  June 2003 ,Dermatology Nursing,Assessing Pain in Older Adults,Many older adults have chronic pain. Try these simple and easy-to-administer pain assessment tools that have been tested with the elderly.
  June 2003 ,Pain Management Nursing,Development and Testing of PATCOA to Assess Pain in Older Adults,"Older patients, especially those experiencing acute confusion, are vulnerable to inadequate pain management. In this group, the traditional practice of relying on self-reported pain assessment instruments may be a barrier to effective practice."
  June 2003 ,Applied Radiology Online,Back Pain,55 year old presents complaining of back pain.
  June 2003 ,Applied Radiology Online,Pain and Palpable Mass,35 year old male presents with pain and a palpable mass behind his lower leg.
  May 2003 ,Spine,Heavy Bags Lead to Back Pain in Children,"In August 1996, the Ministry for Education in Austria decided that schoolbags were not allowed to weigh more than 10% of a child's body weight."
  May 2003 ,Spine,Association of Backpack Use and Back Pain in Adolescents,Recent worldwide attention has focused on the role of backpacks in the development of adolescent nonspecific low back pain.
  May 2003 ,Pediatric Nursing,FLACC Behavioral Pain Assessment Scale,Learn more about assessing pain in infants and young children.
  April 2003 ,Journal of Hospice and Palliative Nursing,Difficulties in Managing Pain at the End of Life,"When caring for a dying patient whose severe pain cannot be relieved, clinicians are faced with a critical clinical challenge."
  April 2003 ,Journal of Midwifery & Women's Health,Update on Non-Obstetric Surgical Conditions in Pregnancy,"Because pregnancy often masks abdominal complaints, effectively assessing abdominal pain in pregnant women can be difficult."
  March 2003 ,Clinical Drug Investigation™,Pain Management Options for Gynaecomastia,"Gynaecomastia is a benign proliferation of male breast tissue, often accompanied by pain or sensitivity (mastodynia)."
  March 2003 ,Pediatric Nursing,Clinical Validation of FLACC: Preverbal Patient Pain Scale,"Learn about the reliability, validity, and clinical use of a pain scale in preverbal children."
  March 2003 ,CTisus,"CT Quiz of the Month, March 2003 - Evaluation of Back Pain",The best diagnosis in this patient with back pain is:
  January 2003 ,Journal Watch,Sweet Baby James: Oral Glucose Reduces Pain in Newborns,Recent studies show that reducing the pain of procedures in neonates has long-term benefits.
  January 2003 ,Pediatric Nursing,Pain Measurement Tools in African-American Children,African American children have specific preferences for pain intensity tools.
  June 2002 ,Southern Medical Journal,Sports Medicine Approach to Low Back Pain,Is bed rest an effective therapy for low back pain?
  April 2002 ,Topics in Advanced Practice Nursing eJournal,Complex Regional Pain Syndrome,Read the newest information on complex regional pain syndrome in this collection of recent MEDLINE abstracts.
  March 2004 ,Pain Management Nursing,Coping in Older Adults Experiencing Chronic Pain,Older people appear to be open to diverse pain management options in an effort to feel better.
  March 2004 ,Pain Management Nursing,Evaluation of the Pain Resource Nurse Role,How does the pain resource nurse role work in pediatric settings?
  March 2004 ,Current Medical Research and Opinion,Use of Transdermal Fentanyl Without Prior Opioid Stabilization,Pain is the most common symptom of cancer and pain severity usually increases with disease progression.
  February 2004 ,Current Medical Research and Opinion,Radiotherapy Plus Either Transdermal Fentanyl or Paracetamol,"Pain is one of the most common and feared symptoms associated with cancer, and can have a substantial impact on patient's activities, interpersonal interactions and overall quality of life."
  January 2004 ,Journal Watch,'The Pain Was Relieved by Nitro': Helpful Information?,Relief with nitroglycerin is thought by some to be characteristic of anginal chest pain. What is the prognostic value of this clinical observation?
  January 2004 ,Spine,"Prolotherapy Injections, Saline Injections, and Exercises for","Prolotherapy is a treatment for chronic nonspecific low-back pain that involves a protocol of ligament injections, exercises, and vitamin and mineral supplements."
  January 2004 ,Current Medical Research and Opinion,Efficacy of Rofecoxib and Nimesulide in Controlling Pain,"Rofecoxib, the selective cyclo-oxygenase-2 (COX-2) inhibitor or coxib, is a potent, orally active analgesic indicated for the management of acute and chronic pain."
  January 2004 ,Cancer Nursing,Postoperative Arm Massage: Women With Lymph Node Dissection,"Pain relief, comfort, support, relaxation -- a study of the benefits of post-op arm massage."
  January 2004 ,Seminars in Reproductive Medicine,Aromatase and Endometriosis,Pilot studies have shown that aromatase inhibitors can successfully suppress endometriosis and associated pelvic pain.
  January 2004 ,Seminars in Reproductive Medicine,Aromatase and Leiomyoma of the Uterus,"This article reviews the important role that aromatase plays in leiomyomas tissue and its growth, while focusing on the its therapeutic implications."
  December 2003 ,Pain Management Nursing,The Pain of Childbirth: Perceptions of Culturally Diverse Women,"Understanding the meaning of pain, women's perceptions of pain, and culturally bound pain behaviors is fundamental  for nurses to facilitate satisfying birth experiences."
