Date,Source,Headlines,Teaser
  May 2002 ,Medscape Medical News,'Pain Relief Ball' Cuts Opioid Use After Gynecologic Surgery,It may be the new standard of care for postoperative pain control.
  May 2002 ,Medscape Medical News,Intradiscal Electrothermal Therapy Benefits Low Back Pain,The therapy is an effective alternative to spinal fusion or chronic pain management.
  May 2002 ,Medscape Medical News,CT Scan Catches Life-Threatening Problems in Patients With...,All 7 of the patients who died in the study did not receive an early CT scan.
  April 2002 ,Medscape Medical News,Breast-feeding Is Analgesic in Healthy Newborns,Breast-feeding also seemed to prevent the normal rise in heart rate that accompanies pain.
  March 2002 ,Medscape Medical News,Aseptic Meningitis Cases Linked to Rofecoxib,"Recovery followed drug discontinuation, and rechallenge led to relapse."
  March 2002 ,Medscape Medical News,New Guideline for Arthritis Pain Emphasizes Earlier Treatment,COX-2 inhibitors are now to be considered the first-line choice for treating moderate to severe pain.
  March 2000 ,Medscape Medical News,Magnet Treatment Had No Beneficial Effect on Patients With Chronic Low...,"A small study using one variety of magnet for treatment of low back pain had no effect on patients' pain; however, the researchers say that additional studies are needed to verify the results of this pilot study, according to an article in the March 8 issue of  The Journal of the American Medical Association."
  February 2003 ,Medscape Medical News,New Standard of Care for Painful Bone Metastases,"For palliation, single-fraction radiotherapy was equally efficacious and less expensive than multiple-fraction therapy."
  January 2003 ,Medscape Medical News,Duct Ectasia Linked to Mastalgia Severity,"The degree of duct dilation is associated with the intensity of pain, and the site of duct dilation is positively correlated with the site of pain."
  December 2002 ,Medscape Medical News,Radiofrequency Ablation Effective for Pain Associated With Osteolytic...,Fifty of the 62 patients achieved a high degree of pain relief and 45% had complete pain remission during the 6 month follow-up.
  November 2002 ,Medscape Medical News,"End-of-Life Care: A Newsmaker Interview With Judith R. Peres, MSW","First state-by-state 'report card' gives mostly bad grades on palliative care, as many dying patients and their families suffer needlessly."
  November 2002 ,Medscape Medical News,"Patient-Controlled Sedation for Colonoscopy Safe, Effective","Compared with standard IV sedation, this technique was as effective and slightly safer."
  November 2002 ,Medscape Medical News,Morphine Mouthwash Relieves Pain of Oral Mucositis,"Compared with magic mouthwash, it was better at reducing pain and shortening functional impairment with fewer adverse effects."
  October 2002 ,Medscape Medical News,Pregabalin Improves Pain and Fatigue Symptoms in Patients With Fibromyalgia,Patients treated with pregabalin 450 mg/day showed significant improvement in their endpoint mean pain score and were more likely to experience a 50% reduction in pain from baseline.
  October 2002 ,Medscape Medical News,Extended-Release Tramadol Reduces Symptoms of Chronic Knee Pain,Filing for FDA approval of the extended-release version of the analgesic is likely take place in mid-2003.
  October 2002 ,Medscape Medical News,"Opioids, Tricyclics Helpful in Postherpetic Neuralgia","Patients preferred opioids, but both classes of drugs relieved pain without much impairment of cognitive function."
  October 2002 ,Medscape Medical News,Implantable Intrathecal Drug Delivery System Fights Cancer Pain,"IDDS controls pain better than comprehensive medical management alone, with less toxicity and increased survival."
  October 2002 ,Medscape Medical News,"Diabetic Neuropathy, Gastropathy Respond to New Treatments","Isosorbide dinitrate spray reduces neuropathic pain and burning, and sildenafil improves gastric emptying."
  September 2002 ,Medscape Medical News,Dextromethorphan Improves Analgesia After Cancer Surgery,The NMDA receptor antagonist reduces postoperative pain with less sedation and reduced need for morphine.
  August 2002 ,Medscape Medical News,Newborns Need Better Pain Management,Repeated painful stimuli condition infants to anticipatory pain and hyperalgesia.
  August 2002 ,Medscape Medical News,Epidural Analgesia in Labor Not Linked to Postpartum Back Pain,Function and mobility were similar to those in women given other forms of pain relief.
  July 2002 ,Medscape Medical News,Aerobic Exercise Reduces Fibromyalgia Symptoms,It was observed to be better than relaxation/flexibility training.
  July 2002 ,Medscape Medical News,Patient-Controlled Analgesia Linked to GI Surgical Infections,"Infection rate was higher with the pump, but a causal relationship was not established."
  May 2002 ,Medscape Medical News,Heat Better Than OTC Medications for Low-Back Pain,Effect lasts 2 days after the continuous heat-wrap treatment.
  May 2002 ,Medscape Medical News,Manual Therapy Best Alternative Treatment for Neck Pain Relief,"In a randomized trial, manual therapy was better than physical therapy or general practitioner care."
  May 2002 ,Medscape Medical News,New Guidelines for Pain Control in Older Patients,"AGS recommends aggressive management, not placebo."
  May 2002 ,Medscape Medical News,Massage Better Than Relaxation Therapy for Fibromyalgia,"Massage was found to decrease pain and substance P, and improve sleep."
  October 2003 ,Medscape Medical News,"Laser-Assisted Penetration of Topical Anesthetic Safe, Effective","In a double-blind trial in adults, the Er:YAG laser followed by lidocaine cream significantly reduced the pain of hypodermic needle insertion."
  October 2003 ,Medscape Medical News,Teriparatide Reduces Fracture-Related Back Pain Over Long Term,"In addition to less pain, significantly fewer women who had taken teriparatide had new vertebral fractures."
  October 2003 ,Medscape Medical News,Electro-Acupuncture Effective for Anesthesia During in Vitro Fertilization,This alternative pain relief method during egg collection is more cost-effective and requires less recovery time than conventional medical anesthesia.
  October 2003 ,Medscape Medical News,Half of Elderly Patients With Painful Neuropathy Receive Inappropriate Meds,Experts advise physicians to follow recommendations set forth by the American Geriatric Society.
  September 2003 ,Medscape Medical News,Continuous Combined Hormone Therapy May Control Endometriosis Pain,"A prospective, self-controlled trial showed that long-term continuous oral contraceptive use may be appropriate for women with pain refractory to cyclic therapy."
  September 2003 ,Medscape Medical News,Magnetized Insoles No Better Than Nonmagnetized for Heel Pain,"In a randomized, double-blind, placebo-controlled study, both groups reported subjective improvements in their symptoms."
  September 2003 ,Medscape Medical News,Muscle Training No Better Than Relaxation Training for Chronic Neck Pain,A randomized controlled trial of dynamic muscle training and relaxation training showed no significant difference between treatment groups.
  July 2003 ,Medscape Medical News,Transdermal Ketoprofen Reduces Delayed-Onset Muscle Soreness,"Systemic absorption of this NSAID was minimal in a small controlled trial, with no observed effects on postexercise function or reported adverse reactions."
  July 2003 ,Medscape Medical News,Osteopathic Manipulation No Better Than Sham Therapy for Chronic Back Pain,"In a randomized trial, both osteopathic manipulation and sham manipulation were better than no therapy, but there was no difference between actual therapy and sham therapy."
  June 2003 ,Medscape Medical News,Peripheral Neuropathy Underdiagnosed,"Findings point to a need for routine testing, researchers say."
  June 2003 ,Medscape Medical News,Radiographs as Good as MRI for Most Patients With Low Back Pain,"Magnetic resonance imaging increases the cost by increasing the number of spine operations, but the outcomes are the same for both imaging procedures."
  June 2003 ,Medscape Medical News,Spinal Manipulation Better Than Sham Therapies for Low Back Pain,"This technique is neither better nor worse than conventional treatments, and massage therapy may be the only manual therapy to lower healthcare costs."
  April 2003 ,Medscape Medical News,Manual Therapy Best for Neck Pain,Low-velocity passive range of motion technique was both more effective and more cost-effective than traditional physiotherapy or general practitioner care.
  April 2003 ,Medscape Medical News,Capsaicin Patch Eases Postherpetic Neuralgia Pain,"A one-hour application reduced the pain by 33% for up to one month, according to a presentation at the American Academy of Neurology 55th annual meeting."
  March 2003 ,Medscape Medical News,Levorphanol Effective in Neuropathic Pain,"Countering the opinion that neuropathic pain is opioid-resistant, higher doses of this mu agonist are more effective, but the benefit is limited by more adverse effects."
  March 2003 ,Medscape Medical News,Gabapentin Plus Valacyclovir Effective for Management of Acute Zoster Pain,Researchers report efficacy and tolerability at lower doses of gabapentin than has previously been seen.
  March 2003 ,Medscape Medical News,Pain is Undertreated in ESRD Patients,"Preliminary data show that one-third of ESRD patients are in ""severe"" pain."
  March 2003 ,Medscape Medical News,Alpha-Lipoic Acid Helpful in Diabetic Neuropathy,This antioxidant rapidly and significantly reduced neuropathic sensory symptoms and pain in a double-blind trial.
  February 2003 ,Medscape Medical News,Synvisc and Corticosteroid Injections Equally Effective for Knee OA,But both treatments received a significantly worse response in women compared with men.
  February 2003 ,Medscape Medical News,"Steroid Injections Safe, Effective Long-term in Knee Osteoarthritis","Over two years, this treatment for pain management had no apparent deleterious effects in a randomized, double-blind trial."
  September 2004 ,Medscape Medical News,Vioxx Pulled From Global Market,"Merck & Co., Inc., has announced a voluntary withdrawal of rofecoxib (Vioxx) from the U.S. and worldwide market due to safety concerns of an increased risk of cardiovascular events, including heart attack and stroke."
  August 2004 ,Medscape Medical News,Effectiveness of Topical NSAIDs in Osteoarthritis Limited to 2 Weeks,"Topical NSAIDs are less effective than oral NSAIDs in the first week, equal to placebo at one month."
  July 2004 ,Medscape Medical News,"RF Ablation Followed by Bone Cement Injection Relieves Pain, Achieves...","One week after radiofrequency ablation followed by vertebroplasty with bone cement, all patients with refractory pain reported reduced pain scores."
