Date,Source,Headlines,Teaser
" March, 2000 ",Medscape Medical News,Magnet Treatment Had No Beneficial Effect on Patients With Chronic Low...,"A small study using one variety of magnet for treatment of low back pain had no effect on patients' pain; however, the researchers say that additional studies are needed to verify the results of this pilot study, according to an article in the March 8 issue of  The Journal of the American Medical Association."
" June, 2001 ",Medscape Pharmacotherapy,MEDLINE Abstracts: Chronic Nonmalignant Back Pain,A collection of MEDLINE abstracts from the editors of Medscape.
" November, 2001 ",Journal of the Southern Orthopaedic Association,Isthmic Spondylolisthesis and Spondylolysis,"Despite the large number of treatment options available, specific recommendations for treatment can be made."
" December, 2001 ",Current Medical Research and Opinion,Cizolirtine Citrate in the Treatment of Chronic Neuropa,Learn more about a novel non-opioid analgesic that has shown efficacy in animal models of chronic neuropathic pain.
" February, 2002 ",Pharmacotherapy,Management of Opioid-Induced Gastrointestinal Effects,Awareness of side effects when managing pain with opioids in terminally ill patients greatly improves treatment quality.
" February, 2002 ",Medscape Rheumatology,The Pitfalls of Opioids for Chronic Nonmalignant Pain,The abuse of OxyContin for chronic nonmalignant pain is a serious medical and social problem.
" February, 2002 ",Medscape Neurology,Case 11: Could This Be Guillain-Barre Syndrome?,What's wrong with this toddler?
" March, 2002 ",Southern Medical Journal,Ketorolac for Pain Management,"Could a simple NSAID be used to prevent undesirable opioid effects on respiratory, cardiovascular, and CNS function?"
" March, 2002 ",Medscape Medical News,Aseptic Meningitis Cases Linked to Rofecoxib,"Recovery followed drug discontinuation, and rechallenge led to relapse."
" March, 2002 ",Medscape Medical News,New Guideline for Arthritis Pain Emphasizes Earlier Treatment,COX-2 inhibitors are now to be considered the first-line choice for treating moderate to severe pain.
" March, 2002 ",Medscape Nurses,Monthly Summaries of Nursing Research: March 2002,"Review new nursing research on topics such as breast cancer, HIV-positive patients, adolescent suicide, and much more."
" April, 2002 ",Topics in Advanced Practice Nursing eJournal,Teenagers With Sickle Cell Disease,How can we improve care for teenagers with SCD pain?
" April, 2002 ",Topics in Advanced Practice Nursing eJournal,Complex Regional Pain Syndrome,"Complex regional pain syndrome is not well understood in children, probably due to underdiagnosis."
" April, 2002 ",Topics in Advanced Practice Nursing eJournal,Complex Regional Pain Syndrome,Read the newest information on complex regional pain syndrome in this collection of recent MEDLINE abstracts.
" April, 2002 ",Medscape Medical News,Breast-feeding Is Analgesic in Healthy Newborns,Breast-feeding also seemed to prevent the normal rise in heart rate that accompanies pain.
" May, 2002 ",Medscape Medical News,Massage Better Than Relaxation Therapy for Fibromyalgia,"Massage was found to decrease pain and substance P, and improve sleep."
" May, 2002 ",Medscape Medical News,New Guidelines for Pain Control in Older Patients,"AGS recommends aggressive management, not placebo."
