Date,Source,Headlines,Teaser
  October 2002 ,Medscape Nurses,Monthly Summaries of Nursing Research,"Menopause, pain management, exercise, family coping, minor brain injury. Read these research summaries, and many more, in this month's report."
  October 2002 ,Medscape Neurology,Reports From the 56th Annual Meeting of the AACPDM,"Learn about new therapies for the physical complications of cerebral palsy, what works, and what doesn't."
  September 2002 ,Medscape Nurses,NINR -- September 2002,"Exercise, exercise! Good for those with HIV, adolescents, and postcardiac patients. New summaries from NINR on exercise and many additional topics."
  July 2002 ,Medscape Nurses,Monthly Summaries of Nursing Research,"Review new nursing research on cancer and depression, fibromyalgia, nurse staffing, and much more."
  March 2002 ,Medscape Nurses,Monthly Summaries of Nursing Research: March 2002,"Review new nursing research on topics such as breast cancer, HIV-positive patients, adolescent suicide, and much more."
  February 2002 ,Medscape Rheumatology,The Pitfalls of Opioids for Chronic Nonmalignant Pain,The abuse of OxyContin for chronic nonmalignant pain is a serious medical and social problem.
  February 2002 ,Medscape Neurology,Case 11: Could This Be Guillain-Barre Syndrome?,What's wrong with this toddler?
  June 2001 ,Medscape Pharmacotherapy,MEDLINE Abstracts: Chronic Nonmalignant Back Pain,A collection of MEDLINE abstracts from the editors of Medscape.
  November 2003 ,Medscape Neurology,October/November 2003: Reefer Madness,Is a grandmother with cancer who smokes pot a criminal? What about a talk-show host with an opiate addiction? Pain-relief practices and regulations need reevaluation by the larger medical community.
  November 2003 ,CTisus,Pain in a 30-Year-Old Man,Another entry in the referring physicians' primer to state-of-the art CT scanning in the management of a plethora of disorders....
  October 2003 ,Medscape Transplantation,Postoperative Pain Management in the Addicted Patient?,What are the current recommendations regarding  postoperative pain management in previously addicted  patient?
  October 2003 ,Medscape Urology,"Pain, Medications, and Impotence","How do you treat ED in patients with reflex sympathetic  dystrophy and who take multiple medications as well  as use electrical stimulation for pain control, but who  fail sildenafil therapy?"
  October 2003 ,Medscape Radiology,MEDLINE Abstracts: Utility of MRI in Managing Low Back Pain,This feature showcases the latest milestones in the  use of MRI to diagnose and help manage low back  pain.
  September 2003 ,Medscape Radiology,MEDLINE Abstracts: Vertebroplasty for Compression Fractures,"This feature postulates a fresh perspective on the role of one of the fastest growing procedures in the interventional radiology arena, vertebroplasty."
  June 2003 ,CTisus,CT is US: Evaluation of Foot Pain,"In this case from the teaching files of Dr. Elliot Fishman, Johns Hopkins University Medical Center, this patient was referred for imaging because of symptoms of foot pain."
  May 2003 ,CTisus,Pelvic Pain,The concern of this patient's primary caregiver was that her sudden onset of pelvic pain was a sign of potential malignancy. CT scans were ordered to rule out a serious condition...
  April 2003 ,Medscape Radiology,MEDLINE Abstracts -- Radiology in the Emergency Medicine Setting,"A snapshot of the evolving role of imaging in the emergency medicine setting for a plethora of key clinical applications, ranging from trauma assessment to the evaluation of CNS disorders."
  April 2003 ,Medscape Radiology,"Private Practice Decisions: Case IV: Abdominal Pain, Weight Loss","In this case of a 23-year-old man who reported  symptoms to his primary caregiver that included fatigue  and weight loss, MRI was essential to clinical  management."
  April 2003 ,Medscape Radiology,"Krinsky's Case Challenge, Case XII: Episodic Finger Pain",This condition is a common disorder among the operators of hand-held vibrating tools. The interactive video proffered by Dr. Krinsky holds the clue to clinching the diagnosis.
  April 2003 ,CTisus,Case 8: Foot Pain Assessment,"State-of-the art CT applications for imagers and referring physicians from the teaching files of Elliot Fishman, MD, Johns Hopkins University Medical Center."
  March 2003 ,Medscape Radiology,Private Practice Decisions: Case III: Right-Sided Abdominal Pain,"Symptoms associated with this perplexing entity include pain, congestive heart failure, persistent gross hematuria, and hypertension. Can you clinch the diagnosis?"
  February 2003 ,Medscape Psychiatry,Conference Report From the Addiction Psychiatry Meeting,Seleted reports from the Addiction Psychiatry Meeting
  January 2003 ,Medscape Med Students,"Letter - Regarding ""Bitter Pills to Swallow""",A psychologist and chronic pain sufferer reacts to a recent story.
  January 2003 ,Medscape Nurses,Monthly Summaries of Nursing Research,"Cancer, fatigue, pregnancy, pediatrics, osteoporosis, menopause -- read research summaries on all these topics and many more, from the NINR."
  January 2003 ,Medscape Neurology,"January/February 2003: Pain, Revisited",A previous column on pain management elicited a huge response that promises to be just the beginning of an ongoing discussion.
  November 2002 ,Medscape Neurology,The Problem of (Managed) Pain,"Decades after the first calls for improved pain management and its subsequent iterations, we are still where we've always been with pain management -- suspicious, impatient, and ineffective."
  January 2005 ,Applied Radiology Online,Crying During Ambulation,"A 2-year-old African-American child presents to her primary caregiver with discomfort during ambulation.In this disorder, early healing begins in...."
  January 2005 ,CTisus,Back Pain,The most likely dx in this 50-year-old with back pain is:
  January 2005 ,CTisus,Severe Back Pain,In this patient with severe back pain the best dx is:
  December 2004 ,Applied Radiology Online,Increasing Neuropathic Pain and Weakness,A 44-year-old women presents to her primary caregiver with symptoms of neuropathic pain and weakness.For what syndrome is this patient most at risk....
  December 2004 ,Applied Radiology Online,Intermittent Hand Pain,A 42-year-old woman presented to her primary caregiver with intermittent hand pain; the role of angiography in determining the cause of this patient's pain is...
  October 2004 ,Medscape Nurses,NINR Summaries: October 2004,"Alzheimer's and caregivers, symptoms of MI, pain relief in children, depression and mammography, sleep disturbances, sex and MI, and more, all in this month's research summaries from NINR."
  October 2004 ,Medscape Neurology,Gabapentin and Hepatotoxicity,Can administration of gabapentin for trigeminal neuralgia dramatically increase liver function tests?
  September 2004 ,Medscape Nurses,NINR: September 2004,"This month's topics include children and asthma, teens with diabetes, imagery and post-op pain, women with MI, mothers' coping skills when children have epilepsy, and more."
  September 2004 ,Applied Radiology Online,Right Wrist Pain,A 14-year-old girl with right wrist pain is referred by her primary care physician for an imaging work-up.The radiographic findings correlate with the most advanced stage of this disease....
  August 2004 ,Medscape Nurses,Nursing Research:  August 2004,"Review the latest research on pain, Alzheimer's disease, stress and caregivers, prevention of diabetes, and more, in summaries from NINR."
  August 2004 ,Medscape Neurology,Treatment for Meralgia Paresthetica,What are the possible interventions for this type of neuropathic pain?
  August 2004 ,CTisus,Choices for Flank Pain,The question the oncology team asked of the radiologist to answer was are there metatastatic lesions present in a kidney in this patient? Can you solve this clinical dilemma?
  June 2004 ,Medscape Orthopedics,"An Expert Interview With Dr. John Sarno, Part II","""In my experience...they wouldn't get better if the structural abnormality was responsible for their symptoms. They would get better by being educated, which is what I do."""
  June 2004 ,Medscape Orthopedics,"An Expert Interview With Dr. John Sarno, Part I: Back Pain","""I found that large numbers of people in whom pain was being attributed to some structural abnormality actually had a totally different disorder...it had to do with the stresses in patients' lives."""
  April 2004 ,Medscape Neurology,Advanced Pain Management Techniques,Neurostimulation of the central and peripheral nervous systems is playing a vital role in the treatment of various intractable pain conditions.
  April 2004 ,Medscape Neurology,"New Content, New Topics Fill Buckets to Overflowing","So far, 2004 is shaping up to be the ""Year of the Brain"" at Medscape, with quite a few new features joining old favorites."
  March 2004 ,Medscape Nurses,National Institute of Nursing Research,"Nursing research topics include rating nursing homes, predicting lymphedema, caregivers for people with dementia, bedrest and pregnancy, pain in children with leukemia, and more."
  February 2004 ,Medscape HIV/AIDS,"Bartlett HIV/AIDS Review: February 15, 2004","Dr. Bartlett reviews data on liver transplants in HIV-positive persons, viral load and prognosis, cost-effectiveness of PEP for sexual exposure, and intrathecal ziconotide for refractory pain."
  January 2004 ,Medscape Nurses,Summaries of Nursing Research,"New research reports focus on CVD risk reduction, chronic pain, managing HIV symptoms, lung cancer, women in prison, and more."
