Date,Source,Headlines,Teaser
  May 2003 ,Medscape General Medicine,Computerized Physician Order Entry: Has the Time Come?,Computerized physician order entry (CPOE) is considered by many to be the key to enhancing patient care safety and efficacy.
  March 2003 ,Journal Watch,Attitudes on Disclosure of Medical Errors,Medical errors and initiatives to prevent them have been discussed widely in recent years.
  March 2002 ,Southern Medical Journal,Accidental Injection of Epinephrine From an Autoinjector,"Although some injection injuries must be treated in an emergency facility, many can be treated at home."
  November 2001 ,Topics in Advanced Practice Nursing eJournal,Preparing for a Successful JCAHO Visit,Learn what you can do to make a JCAHO visit successful.
  March 2002 ,American Journal of Health-System Pharmacy,Comparison of Methods for Detecting Medication Errors,Observation was more efficient and accurate than reviewing charts and incident reports in detecting medication errors.
  February 2002 ,Pharmacotherapy,"Clinical Pharmacy Services, Hospital Pharmacy Staffing...","These findings suggest that at least 90,895 patients annually were harmed by medication errors in US general hospitals."
  December 2001 ,Drugs & Therapy Perspectives,First Reports of Adverse Drug Reactions (ADRs) in Recent Weeks,Read an overview of first published case reports of ADRs identified in the international literature in recent weeks.
  January 2002 ,Pharmacotherapy,Use of Potentially Inappropriate Drugs in Nursing Homes,Use of potentially inappropriate drugs was prevalent on admission and among residents who stayed at least 90 days.
  September 2005 ,American Journal of Health-System Pharmacy,Safe Chemotherapy Administration,A thorough review of chemotherapy administration at one hospital led to new patient safety measures.
  September 2005 ,American Journal of Health-System Pharmacy,Personal Digital Assistants in a Multisite Health System,"A PDA-based tool can help optimize patient outcomes by allowing pharmacists to identify, resolve and prevent drug-related problems."
  July 2005 ,Laboratory Medicine,Phlebotomy Puncture Juncture: Preventing Phlebotomy Errors,Read this guide to quality control of phlebotomy procedures.
  May 2005 ,Endocrine Practice,American College of Endocrinology and AACE Position Statement,How can a culture of safety be created?
  June 2005 ,Geriatrics & Aging,Medication Review : The NO TEARS Tool,"A flexible tool that could reduce the risk of iatrogenic harm, medico-legal issues, and waste."
  March 2005 ,The Hastings Center Report,"The Medical Malpractice Insurance Crisis, Again",The real crisis presented by the breakdown of medical malpractice litigation and insurance system is that the wrong people are getting most of the money.
  February 2005 ,American Journal of Health-System Pharmacy,Computerized Prescriber-Order-Entry System,The Institute of Medicine recently recommended that hospitals adopt computerized prescriber-order-entry (CPOE) systems with medication clinical decision support.
  February 2005 ,Journal of the American Geriatrics Society,Inappropriate Medication Use by Elderly Persons,Inappropriate use of medication by the elderly appears to be as high as it was ten years ago.
  December 2004 ,American Journal of Health-System Pharmacy,Methotrexate-Associated Medication Errors,"Overall, 67% of reported errors involved an overdose of the drug."
  August 2004 ,Pediatric Nursing,Pediatric Medical Errors Part 2: A Source of Tremendous Loss,"Medication errors and thoughts about nurses who float, nurse-physician relations, and the need for critical-incident debriefing."
  August 2004 ,Pediatric Nursing,Pediatric Medical Errors Part 1: Pediatric Drug Overdose,"Medication errors are the most common type of error in hospitals. In this case, too much Digoxin is given to a 14-month-old. Learn what happens."
  August 2004 ,Pediatric Nursing,Pediatric Medical Errors Part 3: Medication Use System,Review system strategies you can implement to decrease medication errors.
  July 2004 ,American Journal of Health-System Pharmacy,Reported Medication Errors Associated With Methotrexate,"A review of medication errors involving methotrexate reveals errors occur during all phases of use, often resulting from confusion about dosage, and often caused death or other serious adverse effects"
  July 2004 ,American Journal of Health-System Pharmacy,New JCAHO Medication Management Standards for 2004,The new JCAHO medication management standards place a greater emphasis on medication safety and are more detailed and prescriptive than previous standards.
  June 2004 ,American Journal of Health-System Pharmacy,Correlation Between House-Staff Work Hours and Prescribing,National interest in limiting the work hours of medical residents was stimulated by the case of Libby Zion and the reduced-work-hours legislation that followed in New York State.
  November 2003 ,Journal of Pediatric Health Care,Medications and Lactation: What PNPs Need to Know,Learn how to determine whether a drug is safe for lactating mothers.
  January 2004 ,American Journal of Health-System Pharmacy,Improving Medication Safety in a Neonatal Intensive Care Unit,"Despite efforts to prevent them, medication errors occur every day throughout the medication-use process."
  July 2003 ,American Journal of Health-System Pharmacy,Impact of Emerging Technologies on Medication Errors,In 1999 the death rate associated with medication errors was estimated at 7000 per year.
  June 2007 ,The Hastings Center Report,At Law:  The Curious Case of Off-Label Use,The FDAs hands-off approach to off-label prescribing has supporters and critics debating over whether and how to regulate this practice to enhance patient protection without diminishing its benefits.
  May 2007 ,Current Opinion in Rheumatology,The Efficacy And Tolerability Of Newer Biologics In Rheumatoid Arthritis,The utility of the newer biologics against the well established biologics has not been evaluated systematically and is reported in this systematic review.
  March 2007 ,American Journal of Health-System Pharmacy,Bar-code Technology and Observation for Safer Drug Administration,A collaborative effort between pharmacy and nursing staffs produced even better results than expected.
  November 2006 ,Pharmacotherapy,Drug-Related Hospitalizations in a Tertiary Care Internal Medicine Service,"The most common causes for drug-related hospitalizations were adverse reactions, improper drug selection, and noncompliance."
  October 2006 ,The Annals of Pharmacotherapy,Systematic Review of Medication Errors in Pediatric Patients,"The most common errors involved dosing, which often was 10 times the actual dose needed; antibiotics and sedatives were most highly associated with errors."
  November 2006 ,Medscape Pharmacists,Governance and the Pharmaceutical Workforce in England,"The changing landscape of pharmacy practice in England, including the new right to prescribe, presents challenges for effective regulation that ensures patient safety."
  May 2006 ,Nursing Economics,Overcoming Barriers to Patient Safety,"Learn about 9 practices that will promote a ""culture of safety."" How many represent your workplace?"
  August 2006 ,American Journal of Health-System Pharmacy,User Satisfaction With an Intravenous Medication Safety System,Pharmacists and nurses reported favorable experiences with electronic infusion devices that could prevent many medication errors.
  June 2006 ,Pharmacotherapy,Clinical Pharmacy Services and Patient Safety in US Hospitals,Compelling results from this study of nearly 2 million hospitalized Medicare patients provide strong evidence for the value of clinical pharmacy services in improving patient safety.
  May 2006 ,The Annals of Pharmacotherapy,Patient Safety and Quality Improvement Act of 2005,"The new legislation provides some protections for clinicians who report minor errors, but the healthcare community must work together to truly improve patient safety."
  May 2006 ,Pharmacotherapy,Randomized Trial to Improve Laboratory Safety  Monitoring,"Collaboration between physicians and pharmacists, along with an electronic reminder tool, can make ongoing drug therapy safer for patients."
  May 2006 ,American Journal of Health-System Pharmacy,Ability of Practitioners to Identify Solid Oral Dosage Tablets,"Pharmacists and physicians were unable to consistently identify 3 commonly used medications, pointing out the need for a simple, standardized identification system."
  April 2006 ,American Journal of Health-System Pharmacy,A Safety Procedure for Continuous Renal Replacement Therapy,"Preprinted order sets, calculation safety checks, and standardized practices improved patient safety."
  May 2006 ,American Journal of Clinical Pathology,Analysis of Laboratory Critical Value Reporting,"In this analysis of 37,503 consecutive critical values at Massachusetts General Hospital, factors leading to delays in reporting are identified and approaches to improvement are described."
  December 2005 ,American Journal of Health-System Pharmacy,Using a Bar-Coded Medication Administration System,Facilities considering the adoption of a bar-code system should dedicate adequate resources to ensure it is integrated and used as expected.
  December 2005 ,The Nation's Health,"Medical Errors, Costly Care a Concern for American Patients","The United States is a leading country for medical errors, out-of-pocket health expenses and missed health care due to costs, according to a recent study."
  December 2005 ,American Journal of Clinical Pathology,Improving the Quality of Cytology Diagnosis,Recommendations for error reduction include immediate interpretation and the use of transmucosal fine-needle aspiration.
  September 2005 ,Journal Watch,Adverse Events and Errors in Intensive Care,One in 10 patients experienced preventable adverse events. Even more could have been harmed by errors that were intercepted or did not result in injury.
  October 2005 ,American Journal of Clinical Pathology,Database Construction for Improving Patient Safety,Development of electronic data abstraction capabilities is critical for efforts to improve patient safety through the examination of pathology diagnostic errors.
  September 2005 ,Nature Clinical Practice Urology,Scandinavian Prostatectomy Study Illustrates Two Common Errors,This article discusses 2 common statistical errors: accepting the null hypothesis and misinterpreting the lower power of overall vs cancer-specific survival.
  July 2007 ,Clinical Drug Investigation™,Double-Blind Comparison of Escitalopram and Duloxetine,The tolerability profiles of antidepressants vary considerably across individual agents. How do escitalopram and duloxetine fare as effective and safe acute treatments for major depressive disorder?
  August 2007 ,Nature Clinical Practice Endocrinology & Metabolism,Gastric Bypass Surgery for Treatment of Hypothalamic Obesity,Hypothalamic obesity is a major complication of craniopharyngioma treatment in children. Might bariatric surgery effectively and safely treat extreme hypothalamic obesity and associated comorbidities?
  July 2007 ,Spine,Efficacy and Safety of Percutaneous Sacroplasty for Painful Osteoporotic,Percutaneous vertebroplasty has safely and successfully treated osteoporotic compression fractures. Might percutaneous sacroplasty work as well in treating osteoporotic sacral insufficiency fractures?
  June 2007 ,Spine,Cervical Corpectomy With Preserved Posterior Vertebral Wall for CSM,Treatment of cervical spondylotic myelopathy remains controversial. Is the clinical outcome of corpectomy with preserved posterior vertebral wall better than that for conventional corpectomy?
  May 2007 ,Endocrine Practice,The Perfect Storm -- Drug Safety and Rosiglitazone,What lessons can be learned from this perfect storm?
  June 2007 ,Journal Watch,"Rosiglitazone: More Data, Continuing Concern",Rosiglitazone was associated with increased risk for MI and possibly cardiovascular mortality in a recent meta-analysis. Does this drug increase risk for MI or death and should it still be prescribed?
  July 2007 ,Nature Clinical Practice Oncology,Is Stereotactic Radiosurgery the Best Treatment Option for Patients,Single-fraction stereotactic radiosurgery is an effective treatment for patients with brain tumors and brain metastases. How about for patients with spinal metastases?
  June 2007 ,American Journal of Clinical Pathology,"Urine Cytology Discrepancies: Frequency, Causes, and Outcomes",Urine cytology errors mean repeated testing and/or diagnostic delays that could cause patient harm. Can urine cytology still effectively screen for urothelial carcinoma?
  June 2007 ,Journal Watch,SSRIs and Birth Defects -- How Concerned Should Our Patients Be?,"Whether SSRI use increases the risk for birth defects is important as SSRIs are often prescribed for depression, relatively common among women of reproductive age. Is prenatal exposure to SSRIs risky?"
  May 2007 ,American Journal of Roentgenology,Percutaneous Cryoablation of Large Renal Masses,"Percutaneous management of large renal tumors with radiofrequency ablation is difficult. Percutaneous cryoablation of such tumors is evaluated to assess feasibility, safety, and short-term outcome."
  June 2007 ,American Journal of Health-System Pharmacy,Educational Interventions to Reduce Use of Unsafe Abbreviations,"Which abbreviations cause the most medical errors, and how can they be made more safe?"
  June 2007 ,American Journal of Health-System Pharmacy,Evidence-based Review of the Black-box Warning for Droperidol,Was the FDA's decision to mandate a black-box warning justified?
  May 2007 ,Journal Watch,Rosiglitazone Associated with Increased Risk for MI,"The thiazolidinedione rosiglitazone is used by many patients with diabetes to control blood glucose levels. As CV risk associated with thiazolidinediones is a concern, does rosiglitazone raise MI risk"
  June 2007 ,Nature Clinical Practice Oncology,Radical Vaginal Trachelectomy as a Method of Fertility Preservation,Fertility preservation is an important part of cervical cancer treatment. Is radical vaginal trachelectomy a safe and feasible fertility preserving procedure that does not compromise overall survival?
  April 2007 ,American Journal of Roentgenology,CT of Pheochromocytoma and Paraganglioma: Risk of Adverse Events,Pheochromocytoma and paraganglioma tumors secrete catecholamines that induce life-threatening hypertensive crises. A perceived risk remains with IV administration of nonionic contrast material.
  June 2007 ,American Journal of Health-System Pharmacy,Internal Reporting System to Improve a Pharmacys Medication Distribution,An error-reporting system developed by a hospital pharmacy reaped nearly 7 times as many reports as the hospital-wide system.
  May 2007 ,Pharmacotherapy,Controversy in ADHF: Nesiritide as Evidence-Based Treatment,"Questions about the safety of nesiritide have led to a reduction in its use, but does the evidence justify that trend?"
  June 2007 ,The Annals of Pharmacotherapy,Complementary and Alternative Medicine Use Among Hispanics in the United St,"Are you familiar with brook mint, linden, star anise, sapodilla, or passion flower? Learn more about what your Hispanic patients may be using."
  May 2007 ,American Journal of Health-System Pharmacy,Characterization of Prescribing Errors in an Internal Medicine Clinic,What were the worst errors among handwritten prescription orders?
  May 2007 ,American Journal of Health-System Pharmacy,Medication Errors in Inpatient Pharmacies and Technologies for Improvement,Do technologies that improve pharmacist performance also lower the risk of medication errors?
  September 2007 ,Pediatric Nursing,Abbreviations and Acronyms in Healthcare: When Shorter Isn't Sweeter,The risks of using abbreviations and acronyms are substantial. Take the lead for patient safety. Learn more here.
  November 2007 ,Journal of Hospital Medicine,Identifying Inpatient DNR Status: Safety Hazard Begging for Standardization,"Regarding DNR wishes, no current regulation mandates a ""best practice"" on making these preferences operational, increasing error potential. What are the practice variations in DNR order identification?"
  October 2007 ,International Journal for Quality in Health Care,Improving Quality Through Effective Implementation of IT in Healthcare,The impact of electronic medical records (EMRs) on communication processes and safety outcomes or efficiency and savings gains is unclear. The experience of implementing EMR in 1 hospital is described
  November 2007 ,The Annals of Pharmacotherapy,Survey of Drug-Related Problems Identified by Community Pharmacies,What are the most common drug-related problems seen at community pharmacies?
  November 2007 ,Annals of Surgery,Patterns of Technical Error Among Surgical Malpractice Claims,Do experienced surgeons really cause fewer serious injuries?
  November 2007 ,The Hospitalist,Advice on the Run: Proceed With Caution When Giving Curbside Consults,"Curbside consults pose medical and legal risks for hospitalists, who are most available for this practice given their work in the hospital. How can hospitalists protect themselves from such risks?"
  November 2007 ,Medscape Nurses,"Nurses Journal Scan, September 2007","Check out new journal summaries on Plan B -- the morning after pill, abbreviations and safety, work attitudes of older nurses, disaster preparation, and more."
  October 2007 ,Laboratory Medicine,Serum Thyroglobulin Stability for Immunoassay,"Sample handling may affect serum thyroglobulin (Tg) measurements. What's the measurement stability of immunoassay for serum Tg subjected to delayed separation, storage, or several freeze-thaw cycles?"
  September 2007 ,The Hospitalist,PCA Offers Patients Greater Control but can Mean Trouble for Inexperienced,"Patient-controlled analgesia poses benefits and challenges to hospitalists. What PCA complications, caveats, and safety issues should be considered for pain management routines and hospital protocols?"
  September 2007 ,Annals of Surgery,Seasonal Variation in Surgical Outcomes,The July Effect--Does it Exist?
  September 2007 ,Laboratory Medicine,Requisition Errors for Blood Glucose Tests: A Hospital-Based Study,Blood glucose testing at hospitals is useful for following up on diabetes but lab request errors by the general practitioner occur. What's the overlap between random and fasting glucose test requests?
  October 2007 ,American Journal of Clinical Pathology,Studying Critical Values: Adverse Event Identification,A pilot of an early detection system of unexpected patterns of hospital lab value occurrences is described. Might lab critical value data potentially predict variations in patient adverse events?
  September 2007 ,The Annals of Pharmacotherapy,Preventable Adverse Drug Events in Ambulatory Care,Which drugs are most commonly involved in adverse events?
  August 2007 ,International Journal for Quality in Health Care,Monitoring Patients Using Control Charts: A Systematic Review,This study systematically review the uses control charts to monitor clinical variables in individual patients.
  August 2007 ,Clinical Drug Investigation™,"A Multicentre, Randomised, Double-Blind Study Comparing the Efficacy","Low back pain relief with NSAIDs is an early management treatment option. How does intramuscular dexketoprofen compare with diclofenac therapy in terms of effectiveness, safety, and speed of action?"
  July 2007 ,American Journal of Clinical Pathology,Legal and Ethical Considerations in the Transfusion of Infected or Untested,Transfusion centers may be putting patients at risk for serious infectious diseases by mistransfusing autologous blood that hasn't been tested. What are the legal and ethical considerations of this?
  August 2007 ,Clinical Drug Investigation™,Nucleoside and Nucleotide Reverse Transcriptase Inhibitors in Children,Appropriate antiretroviral therapy for HIV-infected children remains limited. Which nucleoside reverse transcriptase inhibitors are best for backbone treatment in combination antiretroviral therapy?
  July 2007 ,American Journal of Health-System Pharmacy,Adverse Events Involving Intravenous Patient-controlled Analgesia,"Which is more often the cause of serious patient harm, operator error or device malfunctions?"
  July 2007 ,The Hastings Center Report,"Case Study:  All for One, or One for All?","Access to cancer treatments in phase I testing is commented in this case study. Regarding the families affected versus the pharmaceutical industry, how should such a decision be made?"
  April 2008 ,International Journal for Quality in Health Care,Evaluating Healthcare Professionals' Intent to Use Adverse Event Reporting,Implementing a self-reporting-based adverse event reporting system is challenging. What determines acceptance of adverse event reporting systems by healthcare professionals?
  March 2008 ,American Journal of Health-System Pharmacy,Medication Errors Involving Patient-controlled Analgesia,What factors are most commonly associated with these types of errors?
  January 2008 ,Pediatric Nursing,Nurse-Administered Nitrous Oxide Sedation Program for Radiology and Beyond,A registered nurse administered a nitrous oxide sedation program to  meet the needs of underserved pediatric patient population.
  March 2008 ,Journal of Hospital Medicine,Potentially Inappropriate Medication Use in Hospitalized Elders,Potentially inappropriate prescribing might be common among elderly inpatients. What are the rate of and factors associated with potentially inappropriate prescribing among hospitalized elders?
  April 2008 ,American Journal of Clinical Pathology,Analytic Bias Among Certified Methods for the Measurement of Hemoglobin A1c,"Regarding measurement of hemoglobin A1c (HbA1c), what is the magnitude, significance, and origin of analytic bias from point-of-care, central laboratory, and 7 common NGSP-certified HbA1c methods?"
  January 2008 ,Pharmacotherapy,2006 National Clinical Pharmacy Services Survey,What is the status of clinical pharmacy in the United States?
  January 2008 ,Nursing Economics,The Nursing Shortage Continues as Faculty Shortage Grows,"The nursing shortage remains a high priority, but there is also a growing faculty shortage."
  February 2008 ,American Journal of Health-System Pharmacy,Effect of Pharmacists on Medication Errors in an Emergency Department,Could pharmacists be a key to reducing drug errors in the ED?
  January 2008 ,Journal of Hospital Medicine,Predictors of Prescription-related Issues After Hospital Discharge,Discharged patients often find it hard to manage their treatment plan. What factors predict medication-related problems after hospital discharge? How often do issues occur 48-72 hours after discharge?
  February 2008 ,American Journal of Clinical Pathology,Clinical Outcomes of ABO-Incompatible RBC Transfusions,"Regarding ABO-incompatible RBC transfusions, what factors predict signs, symptoms and survival outcome? What are the clinical sequelae of and what types of errors lead to such blood transfusion issues"
  April 2008 ,Topics in Advanced Practice Nursing eJournal,Perception of Front-line Healthcare Providers Toward Patient Safety,Healthcare safety is a worldwide concern. This research reinforces the need for a positive safety culture and clear organizational support.
  January 2008 ,The Annals of Pharmacotherapy,Comparison of Dosing Cup and Oral Dosing Syringe,Which device is more likely to deliver the right amount of medicine?
  December 2007 ,The Journal of Neuroscience Nursing,Risk Factors for Falling Reported by Patients with Parkinson Disease,"People with PD are at substantial risk for falling, yet many are unaware of common risk factors for falls."
  January 2008 ,Journal Watch,Adverse Drug Events in Older Adults,How does the rate of emergency adverse drug events caused by Beers criteria medications compare with the rate of emergency adverse drug events caused by other medications?
  March 2008 ,Medscape Pediatrics,Computerized Prescriber Order Entry and Pediatric Patient Safety,A study published in the November 2007 issue of Pediatrics looks at one institution's experience with a CPOE program.
  November 2007 ,BMC Public Health,Internet Treatment of Sexually Transmitted Infections--Public Health Hazard,People with sexually transmitted infections can use the Internet to get diagnostic tests and treatments privately but at what risk? Are the medications safe and effective? Is health education offered?
  January 2008 ,Journal of the American Geriatrics Society,Interventions for Preventing Falls in Acute- and Chronic-Care Hospitals,How much do hospital fall prevention programs help reduce the number of falls or fallers?
  November 2007 ,Nursing Economics,Cost Effectiveness of a Medical Vigilance System to Reduce Patient Falls,"Although associated with increased costs, this system will likely lead to cost savings overall."
  January 2008 ,Medscape Nurses,"Nurses Journal Scan, November 2007","Summaries this month focus on recognizing avian flu, common medication errors, midwives and lawsuits, NPs and independent practice, and caring for people with tinnitus."
  November 2007 ,American Journal of Clinical Pathology,Frequency and Outcome of Cervical Cancer Prevention Failures in the US,Cervical cancer screening failures can be detected using the cytologic-histopathologic correlation method. What are the frequency and impact of cervical cancer prevention failures on patient care?
  September 2008 ,Transfusion Alternatives in Transfusion Medicine,Current Information on the Infectious Risks of Allogeneic Blood Transfusion,"Allogeneic blood and blood product safety is vital to reduce infection risk, even though absolute safety clearly cannot be attained. Learn more about transfusion related infection risk here."
  August 2008 ,American Journal of Health-System Pharmacy,Controller Meds in Patients Started on Long-Acting Beta2-Adrenergic Agonist,What is the previous use of controller medications in patients who were started on a long-acting beta2-adrenergic agonist? Has prescribing of controller medications improved after FDA-issued alerts?
  September 2008 ,American Heart Journal,Head-up Tilt Table Testing in Syncope,Neurocardiogenic syncopal episodes can be difficult to replicate in a clinical setting. This study compares two agents used to trigger syncopal events in a pediatric population.
  July 2008 ,Nursing Economics,Shift Work in Nursing: Is it Really a Risk Factor for Nurses' Health,Learn about the effect of shift work on the well-being of nurses.
  June 2008 ,American Journal of Public Health,Beyond Abuse and Exposure-Framing Impact of Prescription Medication Sharing,"Medication sharing is a source of medical errors as well as illicit use by the patient. What are the frequency, circumstances and societal and personal consequences of prescription medication-sharing?"
  September 2008 ,Pain Management Nursing,Administration of PRN Range Opioid Analgesic Orders for Acute Pain,"""As needed"" range opioid orders have recently come under scrutiny. Learn the nursing perspective from this survey."
  July 2008 ,Endocrine Practice,Medical Errors Involving Glucose-Lowering Medications,Do Web-based reporting systems help reduce medical errors involving glucose lowering medications?
  September 2008 ,Topics in Advanced Practice Nursing eJournal,Fall Prevention in Long-term Care: Practical Advice to Improve Care,"Falls are common among older adults, especially those in long-term care settings. What can you do to prevent falls?"
  August 2008 ,International Journal for Quality in Health Care,Using Nurses and Office Staff to Report Prescribing Errors in Primary Care,Voluntary prescribing-error reporting could help identify and understand medication errors. What can be learned from this error-reporting system regarding detected prescribing errors in primary care?
  August 2008 ,The Hospitalist,"""Weekend Effect"" Persists","Increased off-hours mortality forces hospitalists to learn new skills, forge new partnerships, and increase staffing to focus on process issues."
  August 2008 ,International Journal for Quality in Health Care,Rationing of Nursing Care and its Relationship to Patient Outcomes,"When resources are limited, nurses must ration patient care, increasing the risk of adverse events. Does implicit rationing of nursing care affect selected patient outcomes and patient satisfaction?"
  May 2008 ,Nursing Economics,Nurses' Solutions to Prevent Inpatient Falls in Hospital Patient Rooms,This qualitative study identified 24 solutions to minimize inpatient falls.
  August 2008 ,Faculty of 1000,Preventable In-Hospital Deaths After CABGS,"In this important study, a third of all deaths after CABGS were preventable.  Now it's time to find out the causes."
  December 2007 ,Future Microbiology,Use of Animal Models in the Development of Human Vaccines,Efficient translation of basic vaccine research to clinical therapies will depend upon the availability of appropriate animal models.
  April 2008 ,JAIDS: Journal of Acquired Immune Deficiency Syndromes,"Pharmacokinetics, Safety, and Efficacy of Tipranavir Boosted With Ritonavir","This article examines pharmacokinetic profile, safety, and efficacy of RTV-boosted tipranav alone and in combination with comparator PIs."
  May 2008 ,Journal of Hospital Medicine,Who Do You Want Taking Care of Your Parent?,Who is best suited to treat patients with a single condition; the specialist or generalist?
  April 2008 ,The Annals of Pharmacotherapy,HIV-Related Medication Errors and Risk Factors in Hospitalized Patients,"An alarmingly high number of errors occur when patients with HIV infection are initially hospitalized, requiring interventions to reduce the risk of patient harm."
  June 2008 ,International Journal for Quality in Health Care,Conformity of Commercial Oral Single Solid Unit Dose Packages in Pharmacy,Implementing a unit dose drug distribution system is a medication safety strategy. Do commercial oral single solid unit dose package labeling in hospital pharmacy practice conform with guidelines?
  March 2008 ,Journal of Hospital Medicine,Inappropriate Medication Use in Hospitalized Older Adults -- Interventions?,Potentially inappropriate medications continue to be used in 12% to 40% of older patients in community and nursing home settings. Can interventions help prevent this? How should they be structured?
  June 2008 ,The Hastings Center Report,The Limits of Apology Laws,Apology laws diminish clinicians'/administrators' reluctance to disclose medical errors and will encourage systemic changes needed to improve patient safety. But how will this play out in practice?
  December 2008 ,Urologic Nursing,Quality and Nursing: Moving From a Concept to a Core Competency,"Learn how nurses who actively participate in improvement initiatives can enjoy their work, thus benefiting the patient."
  November 2008 ,Pediatric Pharmacotherapy,Improving Pediatrics Medication Safety Part I,Look at new research on medication errors and methods for improving the safety of pediatric medication delivery.
  December 2008 ,Urologic Nursing,Education to Bridge the Quality Gap,This article presents an unfolding case study simulation for urinary tract infection.
