Date,Source,Headlines,Teaser
  December 2003 ,Medscape General Medicine,Improving the Quality of Care in Physician Office Practice,Could the greatest barrier to quality improvement in American medicine be the local physician's office?
  December 2003 ,Medscape General Medicine,"Uninvited, Unwelcome Medical Email Messages",Are medical spam messages potentially harmful to patients' health?
  August 2003 ,Medscape Business of Medicine,One Hospital's Journey Toward Patient Safety,"In response to the Institute of Medicine report that medical mistakes kill as many as 98,000 patients each year, healthcare facilities were given a wake-up call to evaluate environmental safety."
  November 2002 ,Medscape General Medicine,Bodies,"A first-time novelist examines corruption, scandal, and error in a British hospital."
  October 2002 ,Medscape Med Students,Lessons From the PICU,A newly minted intern finds out how little he actually knows.
  August 2002 ,Medscape Nurses,Monthly Summaries of Nursing Research,"Stay up to date with new nursing research summaries on needlestick injuries, wound care, and pediatric topics."
  July 2002 ,Medscape Med Students,Dispatches: On the Hours,Two junior doctors discuss new restrictions on the workweek of residents.
  June 2002 ,Medscape Pharmacists,Antimicrobial Therapy to Minimize Medication Errors,This article expands the definition of medication errors to include inappropriate/suboptimal use of antimicrobial drugs.
  March 2002 ,Medscape Pharmacists,Automated Selection of Drugs and Drug Dose,How can physician order entry be improved for patients with renal insufficiency?
  March 2007 ,Agency for Healthcare Research and Quality (AHRQ),Practice Tips for Hospitals From AHRQ: 2007 Update,Revised hospital practice tips from AHRQ for improving patient safety and care
  January 2007 ,Medscape Public Health,Agricultural Injuries: Improving Occupational Safety,"Despite the associated danger, agriculture is largely exempt from federal guidelines designed to improve workplace safety and protect workers."
  January 2007 ,Medscape Pharmacists,Nesiritide: Does It Do More Harm Than Good?,"Nesiritide was anticipated as a safer, more effective option for treating acute decompensated heart failure, but recent studies have raised serious concerns."
  November 2006 ,American Society for Clinical Pathology,Quality Laboratory Practice and Its Role in Patient Safety: ASCP Statement,Read this recent ASCP policy statement on the quality of the practice of laboratory medicine and patient safety.
  October 2006 ,Medscape Psychiatry,"An Expert Interview With William T. Carpenter, Jr., MD",Is off-medication research for schizophrenia safe? Ethical? Are selection criteria skewed? Is psychosis neurotoxic? Can excessive dopamine cause psychosis? These and many relevant issues addressed.
