Date,Source,Headlines,Teaser
" November, 2001 ",Topics in Advanced Practice Nursing eJournal,Preparing for a Successful JCAHO Visit,Learn what you can do to make a JCAHO visit successful.
" December, 2001 ",Drugs & Therapy Perspectives,First Reports of Adverse Drug Reactions (ADRs) in Recent Weeks,Read an overview of first published case reports of ADRs identified in the international literature in recent weeks.
" January, 2002 ",Pharmacotherapy,Use of Potentially Inappropriate Drugs in Nursing Homes,Use of potentially inappropriate drugs was prevalent on admission and among residents who stayed at least 90 days.
" February, 2002 ",Pharmacotherapy,"Clinical Pharmacy Services, Hospital Pharmacy Staffing...","These findings suggest that at least 90,895 patients annually were harmed by medication errors in US general hospitals."
" March, 2002 ",Southern Medical Journal,Accidental Injection of Epinephrine From an Autoinjector,"Although some injection injuries must be treated in an emergency facility, many can be treated at home."
" March, 2002 ",Medscape Pharmacists,Automated Selection of Drugs and Drug Dose,How can physician order entry be improved for patients with renal insufficiency?
" March, 2002 ",American Journal of Health-System Pharmacy,Comparison of Methods for Detecting Medication Errors,Observation was more efficient and accurate than reviewing charts and incident reports in detecting medication errors.
" June, 2002 ",Medscape Pharmacists,Antimicrobial Therapy to Minimize Medication Errors,This article expands the definition of medication errors to include inappropriate/suboptimal use of antimicrobial drugs.
" July, 2002 ",Medscape Med Students,Dispatches: On the Hours,Two junior doctors discuss new restrictions on the workweek of residents.
" August, 2002 ",Medscape Nurses,Monthly Summaries of Nursing Research,"Stay up to date with new nursing research summaries on needlestick injuries, wound care, and pediatric topics."
" September, 2002 ",Medscape Medical News,Hospitals Make Medication Errors in 19% of Doses,"The most common errors were wrong time, wrong dose, or unauthorized drug, and 7% were potentially harmful."
" October, 2002 ",Medscape Medical News,"OIG Guidelines: An Expert Interview With Arthur Palamara, MD","Physicians need to be accountable for all that they do, and to put patient welfare first."
" October, 2002 ",Medscape Med Students,Lessons From the PICU,A newly minted intern finds out how little he actually knows.
" October, 2002 ",Medscape Medical News,"Quality of Care, Information Technology Will Shape Family Medicine's Future","Identifying and reducing medical errors is the first step, aided by greater use of information technology."
" November, 2002 ",Medscape General Medicine,Bodies,"A first-time novelist examines corruption, scandal, and error in a British hospital."
" November, 2002 ",Medscape Medical News,"Accutane's Safety Labeling Revised for Psychiatric Disorders, Other Warning","The acne drug's labeling has changed regarding warnings for psychiatric disorders, warnings for pediatric patients, and a new table to clarify when pregnancy tests and Accutane Qualification stickers are needed."
" November, 2002 ",Medscape Medical News,OTC Supplements Linked to Possible Fulminant Hepatic Failure,"Diet aids, herbal use associated with hepatotoxicity, FHF in this small study."
" November, 2002 ",Medscape Medical News,Beware Third Trimester Exposure to Paroxetine,The drug may cause neonatal complications due to withdrawal syndrome.
" December, 2002 ",Medscape Medical News,Dual-Chamber Pacing Detrimental for ICD Patients,The study was stopped early when researchers found it increased rates of hospitalization for heart failure and death.
" December, 2002 ",Medscape Medical News,"Preventable Medical Errors: A Newsmaker Interview With Robert J. Blendon, S","The general public and physicians differ in their perceptions of this problem, especially on the issues of physician sanctions and public disclosure."
" December, 2002 ",Medscape Medical News,New Mutations Found in CML Patients Treated with Gleevec,"Investigator calls for concern, not panic over genetic changes."
" December, 2002 ",Medscape Medical News,Pergolide Linked to Valvular Disease,"In an eerie replay of fen/phen, investigators recommend echocardiogram for all patients taking the drug, and discontinuation if it shows valvular disease with no other cause."
" December, 2002 ",Medscape Medical News,"Shorter Hospital Stays: A Newsmaker Interview With Jeanne M. Madden, PhD",Contrary to public opinion -- and laws passed in Congress and in 41 states -- shorter hospital stays after normal births neither endanger infants nor reap cost savings to HMOs.
" December, 2002 ",Medscape Medical News,FDA Controls 10 Prescription Drugs at US Borders,"The action reflects the government's effort to control ""adverse events from the products it regulates."""
" December, 2002 ",Medscape Medical News,Risk of Anaphylaxis From Re-exposure to Palivizumab,Adverse events after a sixth or greater dose of palivizumab are similar in character and frequency to those after the initial five doses.
" January, 2003 ",Medscape Medical News,X-Rays Recommended to Exclude Retained Surgical Instruments in High-Risk...,"Screening plain film would be cost-effective and should be routine in high-risk cases, including emergencies, unplanned changes in procedure, and patients with higher body mass index."
" January, 2003 ",Medscape Medical News,Medicare Services Gaining Ground,"Study suggests some improvement, but better healthcare systems may be needed."
" January, 2003 ",Medscape Medical News,Error Reporting System Sharply Cuts ICU Mortality,"The first-ever of its kind, the system is predicted to reduce mortality by 30%."
" February, 2003 ",Medscape Medical News,Adverse Events Common After Hospital Discharge,"Many of these were avoidable or ameliorable, according to the results of a prospective trial."
" February, 2003 ",Medscape Medical News,AAOS Promotes Allograft Safety Education for Surgeons,Surgeons should know the source of grafts; tissue banks certified by the American Association of Tissue Banks are preferred.
" February, 2003 ",Medscape Medical News,Doctor Walk-Outs Highlight Need for Malpractice Reform,"Experts say simple solutions, like a cap on pain and suffering awards, minimize the complexity of the problem."
" February, 2003 ",Medscape Medical News,"Medical Errors Lessons: A Newsmaker Interview With Carolyn M. Clancy, MD","Near-miss cases provide a forum in which healthcare professionals can learn about error prevention without blame, sponsors hope."
" February, 2003 ",Medscape Medical News,"ABO Incompatibility: An Expert Interview With Robert A. Metzger, MD",New procedures are already being implemented to prevent tragic errors like the Jesica Santillan case from happening again.
" February, 2003 ",Medscape Medical News,Being a Doctor Means Having to Say You're Sorry,"Neither doctors nor patients get proper emotional support after involvement in a medical error, but doctors should apologize more to their patients and offer them appropriate information."
" March, 2003 ",Journal Watch,Attitudes on Disclosure of Medical Errors,Medical errors and initiatives to prevent them have been discussed widely in recent years.
" April, 2003 ",Medscape Medical News,Statin Interchange Programs May Expose Patients to Adverse Drug Interaction,"Designed to save costs, statin interchange programs in hospitals may increase the risk of adverse drug interactions, especially for those on diltiazem."
" May, 2003 ",Medscape Medical News,Quality Group Unveils 'Roadmap' to Patient Safety,Report recommends standardized practices that could reduce inpatient medical errors.
" May, 2003 ",Medscape General Medicine,Computerized Physician Order Entry: Has the Time Come?,Computerized physician order entry (CPOE) is considered by many to be the key to enhancing patient care safety and efficacy.
" June, 2003 ",Medscape Medical News,Barriers to IT Adoption by Hospitals Slowly Starting to Fall,Incentives by payers to adopt safety-enhancing technology are a leading factor.
" July, 2003 ",Medscape Medical News,"Medical Liability Crisis:  A Newsmaker Interview With Donald Palmisano, MD","Despite divisions in Washington, public takes physicians' side in malpractice debate, AMA president says."
" July, 2003 ",American Journal of Health-System Pharmacy,Impact of Emerging Technologies on Medication Errors,In 1999 the death rate associated with medication errors was estimated at 7000 per year.
" August, 2003 ",Medscape Business of Medicine,One Hospital's Journey Toward Patient Safety,"In response to the Institute of Medicine report that medical mistakes kill as many as 98,000 patients each year, healthcare facilities were given a wake-up call to evaluate environmental safety."
" September, 2003 ",Medscape Medical News,Pharmacists on Rounding Teams Reduce Adverse Drug Events,"In a controlled study, having a pharmacist on the rounding team of a general medical unit reduced ADEs by 78%."
" September, 2003 ",Medscape Medical News,Computerized Order Entry Lowers Medication Errors in Children,"Medication error rates were reduced by 40% in wards using electronic systems, although rates of adverse drug events remained the same."
" October, 2003 ",Medscape Medical News,Half of Elderly Patients With Painful Neuropathy Receive Inappropriate Meds,Experts advise physicians to follow recommendations set forth by the American Geriatric Society.
" October, 2003 ",Medscape Medical News,Serotonergic Antidepressants Linked to Bleeding Problems in Orthopedic...,"In a retrospective trial, these drugs increased the risk of blood transfusions, whch may relate to inhibition of serotonin-mediated platelet activation."
" October, 2003 ",Medscape Medical News,"AAFP Promoting the EMR: A Newsmaker Interview With James C. Martin, MD",The outgoing president of the American Academy of Family Physicians discusses how the society is encouraging implementation of the electronic medical record.
" October, 2003 ",Medscape Medical News,Isolation for Infection Control May Compromise Patient Safety,"These patients may have more preventable adverse events, greater dissatisfaction with their treatment, and less documented care."
" October, 2003 ",Medscape Medical News,Care at Teaching Hospitals Associated With Higher Complication Rate in...,"Risk of deep vein thrombosis and pulmonary complications was found to be higher in teaching hospitals than in nonteaching hospitals, but UTIs were more common in nonteaching hospitals."
" November, 2003 ",Medscape Medical News,"IV Epinephrine Use: A Newsmaker Interview With Lisa M. Sullivan, MD","Variable dosing of intravenous epinephrine and other emergency drugs increases the risk of over- or underdosing, so the authors recommend developing a system to improve patient safety."
" November, 2003 ",Journal of Pediatric Health Care,Medications and Lactation: What PNPs Need to Know,Learn how to determine whether a drug is safe for lactating mothers.
" November, 2003 ",Medscape Medical News,Criminalizing Medical Errors: Does the Punishment Fit the Crime?,"Medical mistakes are increasingly being charged as criminal acts; society's changing attitudes may be to blame, according to a BMJ editorial."
" December, 2003 ",Medscape General Medicine,Improving the Quality of Care in Physician Office Practice,Could the greatest barrier to quality improvement in American medicine be the local physician's office?
" December, 2003 ",Medscape General Medicine,"Uninvited, Unwelcome Medical Email Messages",Are medical spam messages potentially harmful to patients' health?
" December, 2003 ",Medscape Medical News,"JCAHO Protocol: A Newsmaker Interview With Rick Croteau, MD","The Universal Protocol, to go into effect July 1, 2004, was endorsed by more than 40 leading healthcare organizations in hopes of creating zero tolerance for these preventable errors."
" December, 2003 ",Medscape Medical News,New Law Mandates More Testing of Drug Safety in Children,Advocates say law gives physicians more information about efficacy and proper dosages for the pediatric population.
" January, 2004 ",Medscape Medical News,Computerized Prescribing Systems Lower Errors Among Pediatric Patients,Better decision support tools are still needed to reach full potential.
" January, 2004 ",American Journal of Health-System Pharmacy,Improving Medication Safety in a Neonatal Intensive Care Unit,"Despite efforts to prevent them, medication errors occur every day throughout the medication-use process."
" April, 2004 ",Medscape Medical News,"For Most SSRIs, Risks Outweigh Benefits in Children",A meta-analysis of unpublished as well as published data suggests that the only exception is fluoxetine.
" May, 2004 ",Medscape Ob/Gyn,Highlights in Gynecology,"Screening for both cervical and colon cancer, implications of obesity in gynecologic patients, and robotic surgery were discussed by leaders in the field."
" May, 2004 ",Medscape Ob/Gyn,Highlights in Obstetrics,"Experts discussed approaches to reducing medical errors in obstetric settings, the need to educate patients, physicians, and the public about the etiologies of cerebral palsy, and new modalities in the management of diabetes in pregnancy."
" May, 2004 ",Medscape Medical News,Patient Safety Requires Fundamental Changes to Medical Systems,"A keynote speaker at the annual meeting of the American College of Obstetricians and Gynecologists says that safety is ""all about teamwork."""
" June, 2004 ",American Journal of Health-System Pharmacy,Correlation Between House-Staff Work Hours and Prescribing,National interest in limiting the work hours of medical residents was stimulated by the case of Libby Zion and the reduced-work-hours legislation that followed in New York State.
" July, 2004 ",American Journal of Health-System Pharmacy,New JCAHO Medication Management Standards for 2004,The new JCAHO medication management standards place a greater emphasis on medication safety and are more detailed and prescriptive than previous standards.
" July, 2004 ",American Journal of Health-System Pharmacy,Reported Medication Errors Associated With Methotrexate,"A review of medication errors involving methotrexate reveals errors occur during all phases of use, often resulting from confusion about dosage, and often caused death or other serious adverse effects"
" July, 2004 ",Medscape Business of Medicine,"July 15, 2004",This edition: Error-prevention strategy relies on doctors' initials; Florida voters to decide on malpractice conditions; California caps hit patients hardest; and more.
" July, 2004 ",Medscape Nurses,NINR Summaries: July 2004,"Medication errors, PID and antibiotic adherence, stroke caregivers, infant colic, kangaroo care, sleep, and more, all in this month's research summaries from NINR."
" August, 2004 ",Pediatric Nursing,Pediatric Medical Errors Part 3: Medication Use System,Review system strategies you can implement to decrease medication errors.
" August, 2004 ",Pediatric Nursing,Pediatric Medical Errors Part 1: Pediatric Drug Overdose,"Medication errors are the most common type of error in hospitals. In this case, too much Digoxin is given to a 14-month-old. Learn what happens."
" August, 2004 ",Pediatric Nursing,Pediatric Medical Errors Part 2: A Source of Tremendous Loss,"Medication errors and thoughts about nurses who float, nurse-physician relations, and the need for critical-incident debriefing."
" October, 2004 ",Medscape Medical News,Half of Pediatric Discharge Analgesia Orders May Contain Errors,"In two studies, errors ranged from documentation problems to those likely to cause adverse drug events."
