Date,Source,Headlines,Teaser
  November 2003 ,Medscape Infectious Diseases,Prophylactic Strategies for Pediatric Infectious Diseases,"Anne Gershon, MD, reviews new data presented at IDSA concerning the prevention of pediatric infectious diseases by means of vaccines and pharmacotherapeutic interventions."
  November 2003 ,Medscape Infectious Diseases,Antimicrobial Resistance in Community-Acquired Pediatric Infections,"Anne Gershon, MD, reviews new data presented at IDSA concerning drug-resistant community-acquired infections in children."
  November 2003 ,Medscape Infectious Diseases,"New Organisms, New Drugs, New Tests, New Guidelines: What Do You Really Need to Know?","What do infectious disease clinicians need to take away from IDSA? Henry Masur, MD, provides a succinct overview of key clinical data and discussions from this important annual meeting."
  October 2003 ,Liver International,Decreasing Incidence of Hepatocellular Carcinoma Among Children,Primary liver cancer is one of the 10 most common malignancies in humans.
  September 2003 ,Medscape Pulmonary Medicine,MEDLINE Abstracts: Pertussis,Could Bordetella pertussis be making a comeback? See what the medical literature says.
  August 2003 ,Morbidity & Mortality Weekly Report,Vaccination Coverage Among Children Entering School,"All states require proof of vaccination for children before school entry, and a summary of that coverage is reported to CDC."
  August 2003 ,Morbidity & Mortality Weekly Report,"National, State, and Urban Area Vaccination Levels - USA 2002",Each annual birth cohort in the United States comprises approximately four million infants.
  August 2003 ,Morbidity & Mortality Weekly Report,Vaccination Coverage Levels Among Alaska Native Children,"In 2000, a total of 118,846 persons indicated that their race/ethnicity was Alaska Native (AN), either alone or in combination with one or more other racial/ethnic groups."
  August 2003 ,Pediatric Pharmacotherapy,Immunizations for Adolescents,"Although more attention is often given to the immunizations required for school entry, there are several important opportunities for disease prevention by vaccination in adolescents."
  June 2003 ,Medscape Allergy & Immunology,IVIG for Recurrent Chronic Sinopulmonary Infections,Should IVIG be used in patients with sinopulmonary infections and chronic fatigue when the only abnormality is the finding of nonresponsive antibody titers to 3 separate pneumococcal vaccines?
  May 2003 ,Medscape Nurses,Can I Care for Newborns if I Get Vaccinated for Smallpox?,"What is the thinking about nurses who have been vaccinated for smallpox coming in contact with newborns -- both in postpartum care, NICU, and well-born nursery?"
  April 2003 ,Morbidity & Mortality Weekly Report,"National Infant Immunization Week - April 13 to 19, 2003","National Infant Immunization Week (NIIW) is April 13-19, 2003; this year's theme is ""Love Them."
  January 2003 ,Medscape Pharmacists,"Food and Drug Administration Approvals, January 2003","Biologics gain new approval with adalimumab, a novel monoclonal antibody for rheumatoid arthritis."
  October 2002 ,Medscape Pharmacists,October 2002,Read about the new drug approval for Hepsera for chronic hepatitis B and other recent FDA approvals and labeling changes.
  February 2002 ,Topics in Advanced Practice Nursing eJournal,Influenza,Learn to educate both clients and peers about susceptibility to influenza and the importance of vaccination.
  July 2001 ,Current Medical Research and Opinion,Haemophilus influenzae Type b Vaccine,Are lower serum anti-PRP antibody titers clinically important?
