Date,Source,Headlines,Teaser
  May 2009 ,Medscape Medical News,Communicating Vaccine Safety to the Public,"Healthcare professionals must educate parents that not vaccinating children poses serious risks to the health of individual children, as well as to the public."
  May 2009 ,Medscape Medical News,"WHO Panel Will Weigh Full-Scale Production of H1N1 Vaccine, May Halt Seasonal Vaccine Production",The World Health Organization (WHO) will convene a panel of experts on May 14 to consider whether to initiate large-scale production of a vaccine for the swine-origin influenza A (H1N1) virus as well as whether to halt production of next fall's seasonal flu vaccine.
  May 2009 ,Medscape Medical News,Barriers to Complete Childhood Immunizations ,Lack of parental knowledge about the importance of childhood immunization is a leading barrier to getting their children immunized
  May 2009 ,Medscape Medical News,Vaccination Order for Pneumococcal Conjugate Vaccine May Affect Infant Pain Response,"Infants who receive pneumococcal conjugate vaccine after the combination vaccine for diphtheria, polio, tetanus, pertussis, and Haemophilus influenzae type b appear to have less pain than those who are immunized in the reverse order."
  May 2009 ,Medscape Medical News,"Expanded Program on Immunization (EPI) Schedule: An Expert Interview With Neal A. Halsey, MD","In his presentation at the National Foundation for Infectious Diseases 12th Annual Conference on Vaccine Research, Dr. Halsey recommended modifying the current schedule, which is now 25 years old, to a 2-dose series for most vaccines, with a booster at 12 months."
  May 2009 ,Medscape Medical News,WHO: H1N1 Vaccine Will Take 4 to 6 Months to Make,"Seasonal influenza vaccine is likely to have no effect on the new influenza A (H1N1) strain, the World Health Organization said today, and a new vaccine will take about 4 to 6 months to make."
  May 2009 ,Medscape Medical News,Swine H1N1 Influenza Vaccine Could Reduce Supply of Seasonal Flu Vaccine,"The US government's tentative plan to develop a stand-alone vaccine for the swine-origin H1N1 influenza virus could strain the nation's vaccine makers to the point of reducing production of seasonal flu vaccine this fall, according to experts."
  April 2009 ,Medscape Medical News,"Potential Impact of Swine Flu: An Expert Interview With Neal A. Halsey, MD","Swine influenza could significantly affect public health by causing not only influenza-related morbidity and potential mortality, but also by diverting resources from other important immunization initiatives."
  April 2009 ,Medscape Medical News,American Academy of Pediatrics Updates Guidelines for Use of Rotavirus Vaccine,A second rotavirus vaccine has been licensed since the American Academy of Pediatrics first published guidelines regarding prevention of rotavirus gastroenteritis in January 2007.
  April 2009 ,Medscape Medical News,Use of Rotavirus Vaccines May Save 2.5 Million Lives by 2025,"A briefing paper by PATH notes that these vaccines are urgently needed in Africa and Asia, where rotavirus burden is greatest."
  March 2009 ,Medscape Medical News,"Vaccine Safety Communication: An Expert Interview With Patricia Stinchfield, RN, MS, CPNP","At the National Association of Pediatric Nurse Practitioners 30th Annual Conference, Ms. Stinchfield discussed strategies to communicate with parents, children, and adolescents about immunization."
  January 2009 ,Medscape Medical News,Pneumoccocal Meningitis Rates Have Decreased in US,A population-based study shows that pneumoccocal meningitis rates have decreased among US children and adults since the introduction of the pneumoccocal conjugate vaccine.
  May 2008 ,Medscape Medical News,Increasing Influenza Immunization Coverage,A school-based trial implemented in 2007/08 efficiently increased influenza-immunization coverage in elementary schools.
  February 2008 ,WebMD Health News,Most Influenza Strains Do Not Match Current Vaccine,"Vaccination is still beneficial, although protection may not be optimal, flu expert said."
