Date,Source,Headlines,Teaser
  January 2003 ,Health Affairs,Private Health Insurance for Mental Health and Substance Abuse,"The decline in spending between in the 1990s is a change from trends in the 1980s, when rising costs alarmed policymakers and employers."
  September 2002 ,CHEST,Passive Smoking Exposure: Chronic Bronchitis and Asthma Risks,The prevalence of passive smoke exposure at home and at the workplace is still high throughout Europe.
  October 2002 ,Morbidity & Mortality Weekly Report,Usual Sources of Cigarettes for Middle and High School Students,The percentages of students who reported stealing cigarettes or 
  September 2002 ,CHEST,Involuntary Smoking and Asthma Severity in Children,"Involuntary smoking by children has been linked to respiratory infections, middle ear disease, and asthma."
  August 2002 ,CHEST,Hospital Initiatives in Promoting Smoking Cessation,"Of the 50 million smokers in the United States, each year approximately 20 million try to stop."
  September 2002 ,CHEST,Environmental Tobacco Smoke Exposure During Travel Among Adults,"Environmental tobacco smoke (ETS) exposure has been linked with many adverse health consequences, ranging from asthma exacerbation to lung cancer."
  March 2002 ,Journal of the American Board of Family Medicine,Treatment of a Young Adult Taking Gamma Butyrolactone,"Clinicians should ask about GBL use in high-risk populations, and in those who complain of possible signs of withdrawal."
  March 2002 ,CHEST,Treating Tobacco Use and Dependence,Read about simple interventions and institutional changes that will increase the efficacy of treating current smokers.
  April 2002 ,Morbidity & Mortality Weekly Report,Alcohol Use Among US Women of Childbearing Age,Rates of binge drinking and frequent drinking during pregnancy have not declined.
  April 1997 ,Medscape Psychiatry & Mental Health eJournal [TM],Link Between Parental Alcoholism and Childhood Mood Disorders,It is proposed that depressed children identify families with a specific form of bipolar disorder similar to alcoholism.
  November 1997 ,Medscape Psychiatry & Mental Health eJournal [TM],Methadone Dose in the Treatment of Opiate Dependence,The epidemic of heroin abuse within the US has produced an influx of addicts requiring effective opioid substitution.
  February 2002 ,Topics in Advanced Practice Nursing eJournal,Smoking Cessation and Weight Gain,Read about smoking cessation and weight gain in this  collection of recent MEDLINE abstracts.
  February 2002 ,Topics in Advanced Practice Nursing eJournal,Editorial: Health Promotion,"Health promotion is more than health screening. Remember to look for domestic violence, abuse, poverty, and addictions."
  February 2002 ,Topics in Advanced Practice Nursing eJournal,Brief Strategies for Smoking Cessation,"Don't give up with patients who can't stop smoking; try  these strategies, and if they fail, try again."
  May 2003 ,American Journal of Public Health,Changes of Attitudes and Patronage Behaviors,Environmental tobacco smoke (ETS) exposure is well recognized to have long-term adverse effects on health.
  July 2003 ,American Journal of Public Health,Adolescents? Smoking Status in Massachusetts,High adolescent smoking rates continue to present a major challenge to the public health community.
  June 2003 ,American Journal of Public Health,Cigarette Smoking and Cognitive Decline in Midlife,"Population-based evidence of an effect of smoking on cognitive function has been inconclusive, with most longitudinal studies reporting weak or null associations, although at least 2 investigations have indicated increased risks of cognitive decline."
  July 2003 ,Pharmacotherapy,Propofol Withdrawal in  Adult Patient With Thermal Injury,Sedation plays an important role in critical care by providing greater comfort for acutely ill patients.
  July 2003 ,Pharmacotherapy,Alcohol Withdrawal Syndrome Practice Guideline on Surgical Pat,"Alcoholism affects approximately 15 million adults in the United States, is the fourth leading cause of disability and health care burden worldwide, and is a factor in 50% of motor vehicle accidents, burns, and crimes."
  July 2003 ,Cancer Control: Journal of the Moffitt Cancer Center,Teachable Moments for Promoting Smoking Cessation,"In 2003, more than 1.3 million Americans will be diagnosed with cancer."
  May 2003 ,Journal of Midwifery & Women's Health,Factors That Influence Smoking in Adolescent Girls,Read a secondary analysis of interview data from the Longitudinal Study of Adolescent Health on factors that are either protective against smoking or increase the risk for smoking in adolescent girls.
  April 2003 ,American Heart Journal,Smoking and Health Outcomes After PCI,Smoking substantially limits the potential health status benefits of PCI.
