Date,Source,Headlines,Teaser
  October 2003 ,Medscape Medical News,"Alcohol Dependence: An Expert Interview With Charles Bowden, MD","New research with topiramate, an anti-epileptic, offers possibilities for the treatment of alcoholism."
  October 2003 ,Medscape Medical News,Diabetics Have Harder Time Quitting Smoking Than Other Smokers,Patients with diabetes have markedly lower smoking cessation rates than others enrolled in a multidisciplinary cessation program.
  September 2003 ,Medscape Medical News,Gamma Vinyl-GABA May Be Effective in Cocaine Addiction,Results from the first human clinical trial of this antiepileptic drug for this indication suggest that it helps reduce cocaine cravings.
  September 2003 ,Medscape Medical News,HRT May Protect Against Smoking-Associated Cancers,"The incidence of smoking-associated cancers is decreased in women using hormone replacement therapy, suggesting that this therapy may prevent or postpone these cancers."
  August 2003 ,Medscape Medical News,Exercise Delays Pulmonary Function Decline in Smokers and Nonsmokers,"Although more research is needed to determine whether this holds true for urban dwellers, the investigators encourage middle-aged and older people to exercise."
  August 2003 ,Medscape Medical News,Marijuana Withdrawal Syndrome a Real Entity,Level of dependency in marijuana users was nearly as strong as that of cocaine users.
  March 2003 ,Medscape Medical News,NSAIDs May Reduce Lung Cancer Risk,"In a case-control study, regular use of these drugs reduced risk for former or current smokers, but not for nonsmokers."
  February 2003 ,Medscape Medical News,"Smoking Cessation Linked to Cold Symptoms, Mouth Ulcers",Informing patients of these risks is likely to prepare them psychologically and to increase the likelihood of successful cessation.
  February 2003 ,Medscape Medical News,Buprenorphine Effective in Heroin Addiction,"This drug may be a viable alternative to methadone, with 75% retention in treatment at one year compared with 0% for the placebo group."
  February 2003 ,Medscape Medical News,New Guidelines Improve Outcome in Cocaine-Associated Chest Pain,Patients with no evidence of ischemia during 12 hours of observation have a very low rate of death or MI during the next 30 days.
  January 2003 ,Medscape Medical News,Selegiline Helps Smokers Quit,The effect of this drug in aiding smoking cessation is about half that of buproprion but comparable to that of nicotine replacement.
  January 2003 ,Medscape Medical News,ADHD Meds Do Not Lead to Future Drug Abuse,"Children treated with stimulants are no more likely to later smoke, drink, or use illegal drugs."
  October 2002 ,Medscape Medical News,Smoking an Important Risk Factor for Colorectal Polyps,Investigators suggest screening colonoscopy should be offered to smokers before age 50 years.
  October 2002 ,Medscape Medical News,Intervention Improves Mental Health in Children of Divorce,Programs geared to mothers only or to both mothers and children were equally effective in reducing mental and behavioral problems.
  September 2002 ,Medscape Medical News,Teens Want to Talk About Their Health Habits,"Adolescents are receptive to discussing lifestyle behaviors with nurse practitioners, leading to small but encouraging changes."
  July 2002 ,Medscape Medical News,Bupropion Helps African Americans Quit Smoking,The drug allows for fewer depressive symptoms and less weight gain.
  June 2002 ,Medscape Medical News,"Benzodiazepines Better PRN, Not ATC for Alcohol Withdrawal",Patients used fewer medications and withdrew faster.
  May 2002 ,Medscape Medical News,Fewer High School Students Lighting Up,Cigarette use is declining after a peak in the late 1990s.
  May 2002 ,Medscape Medical News,Cancer May Progress More Rapidly in Alcoholics,Mouse study shows alcohol accelerates fat loss.
  April 2002 ,Medscape Medical News,Drug Used for Dry Mouth May Help Prevent Lung Cancer,Dysplastic lesions in smokers' lungs are less likely to progress with ADT.
