Date,Source,Headlines,Teaser
  December 2002 ,Medscape Med Students,Bitter Pills to Swallow,A patient's attempt to con an intern garners mixed results.
" Issues, Practice, and Outcomes,  June 2002 ",Organ Transplantation: Concepts,Psychosocial Aspects of Transplantation,"Book Chapter: examine key psychosocial issues facing the patient, family, and transplant team."
  May 2002 ,Medscape Neurology,Bupropion and alcohol-induced seizures,Is slow-release bupropion safe for a patient with alcohol-induced seizures?
  May 2002 ,Medscape Oncology,Bilateral Hilar Activity on PET in Early-Stage NSCLC?,CT of a left lower lung nodule in a 60-year-old female smoker revealed a T1 tumor without enlarged lymph nodes.
  April 2002 ,Medscape Nurses,Monthly Summaries of Nursing Research,"Review nursing research on topics such as hypertension, multicultural care, US and foreign nurses, genetics, and more."
  April 2002 ,Medscape Oncology,Possible Metastasis Following Therapy in Stage IIIB NSCLC?,A 34-year-old male with a 10-year history of smoking was diagnosed with NSCLC following routine chest x-ray and CT scan.
  February 2002 ,Medscape Rheumatology,The Pitfalls of Opioids for Chronic Nonmalignant Pain,The abuse of OxyContin for chronic nonmalignant pain is a serious medical and social problem.
  February 2002 ,Medscape Oncology,Adjuvant Chemotherapy for Resected SCLC?,A healthy 65-year-old male smoker had an incidental left lower lobe mass found on routine chest x-ray.
  March 2004 ,Medscape Psychiatry,Treatment of Nicotine and Opioid Dependence,Treatment development for nicotine and opioid dependence
  March 2004 ,Medscape Psychiatry,Behavioral Parameters of Reward Incentives,Treatment of substance abuse
  March 2004 ,Medscape Psychiatry,Motivation Therapy,Approaches to addiction treatment
  March 2004 ,Medscape Psychiatry,Addiction and Behavioral Economics,The economics of addiction
  February 2004 ,CTisus,Imaging of a Cocaine Addict,Drug addiction can often trigger imaging findings that can have a profound impact on clinical management decisions. Another in the series of quiz cases from Johns Hopkins University....
  January 2004 ,Medscape Pulmonary Medicine,MEDLINE Abstracts: Maternal Smoking,What's new in the medical literature concerning maternal smoking?
  November 2003 ,Medscape Ob/Gyn,Violence Against Women - Substance Abuse in Women,This collection considers substance abuse in women who have been exposed to violence.
  October 2003 ,Medscape Transplantation,Abstinence From Substance Abuse?,What are the current recommendations regarding length of abstinence from substance abuse when evaluating a patient for organ transplantation?
  October 2003 ,Medscape Transplantation,Smoking as a Risk Factor After Kidney Transplantation?,Is smoking a risk for kidney allograft loss?
  September 2003 ,Medscape Pulmonary Medicine,MEDLINE Abstract: Smoking Cessation,What's new in the medical literature on smoking cessation?
  August 2003 ,Medscape General Surgery,The Case of the Jaundiced Musician,"Case of a 57-year old white, male musician who presented with a chief complaint of vomiting and swelling of the legs and abdomen. Can you guess who this is and what caused his medical problems?"
  June 2003 ,Medscape Psychiatry,ADHD and Substance Abuse,Is there a connection between ADHD and substance  abuse?
  May 2003 ,Medscape Psychiatry,Comorbid Substance Abuse in Suicide Risk for Bipolar Patients,"Is substance abuse a complication of bipolar disorder,  or a risk factor for it?"
  February 2003 ,Medscape Psychiatry,Conference Report From the Addiction Psychiatry Meeting,Seleted reports from the Addiction Psychiatry Meeting
  January 2003 ,Medscape Med Students,"Letter - Regarding ""Bitter Pills to Swallow""",A psychologist and chronic pain sufferer reacts to a recent story.
  January 2002 ,Medscape Pulmonary Medicine,MEDLINE Abstracts: Teaching Clinicians About Smoking Cessation,Are clinicians prepared to talk to patients about smoking cessation?
  January 2003 ,Medscape Radiology,"PET Case Cavalcade, Case VII: Abdominal Pain and Mild Anemia","In this case, the ability of FDG-PET scanning to characterize the metabolic nature of disease for effective staging altered the course of therapy from surgery to a palliative approach."
  January 2003 ,Medscape Psychiatry,January 2003: Celebrating Newsletters,Check out the many newsletters available at Medscape Psychiatry & Mental Health
  January 2003 ,Medscape Cardiology,"ALLHAT Reactions; Regulatory, Guidelines, and Research News","The ALLHAT results were not expected by everyone-  and the debate will no doubt continue-but planned new  JNC-VII guidelines, a new FDA approval, and a  potential ethics controversy also start off 2003."
  December 2002 ,Medscape Nurses,Monthly Summaries of Nursing Research,"Nurse colleagues have published many new studies this month. Check out summaries from NINR on HIV, case management, dementia, pregnancy, and more."
  May 2005 ,Medscape Pediatrics,Parents and Substance Abuse,"Parents who use illegal drugs, abuse alcohol, and use tobacco put more than 35 million of the nation's children at increased risk of substance abuse and physical and mental illness."
  April 2005 ,Medscape Neurology,Understanding and Managing Pain in Adults,From APS 2005: The problem of opiate abuse continues to drive research to enhance understanding of this complicated issue.
  April 2005 ,Medscape Ob/Gyn,Cigarettes: The Other Weapons of Mass Destruction,"By 2030, the World Health Organization predicts that smoking will become the leading cause of death globally, killing 10 million persons per year, most of them in developing countries."
  March 2005 ,Medscape Radiology,"PET Case Cavalcade, Case XXVII: Hoarseness in an Older Woman","The cause of the FDG-avid tissue in the interatrial septum in this case is puzzling; on the basis of the available imaging features and clinical history, the diagnosis in this former smoker was..."
  February 2005 ,Medscape Nurses,Alcohol and Women's Health,There seems to be a lot of conflicting information regarding the effects of alcohol on women's health. What is the latest evidence on the benefits and risks?
