Date,Source,Headlines,Teaser
" January, 1970 ",Medscape Medical News,Combined Internet and Telephone Intervention May Facilitate Smoking Cessation,"In a randomized trial, combined Internet and telephone treatment of smoking cessation outperformed static and dynamic Internet interventions."
" April, 1997 ",Medscape Psychiatry & Mental Health eJournal [TM],Link Between Parental Alcoholism and Childhood Mood Disorders,It is proposed that depressed children identify families with a specific form of bipolar disorder similar to alcoholism.
" November, 1997 ",Medscape Psychiatry & Mental Health eJournal [TM],Methadone Dose in the Treatment of Opiate Dependence,The epidemic of heroin abuse within the US has produced an influx of addicts requiring effective opioid substitution.
" January, 2002 ",Medscape Pulmonary Medicine,MEDLINE Abstracts: Teaching Clinicians About Smoking Cessation,Are clinicians prepared to talk to patients about smoking cessation?
" February, 2002 ",Topics in Advanced Practice Nursing eJournal,Editorial: Health Promotion,"Health promotion is more than health screening. Remember to look for domestic violence, abuse, poverty, and addictions."
" February, 2002 ",Topics in Advanced Practice Nursing eJournal,Brief Strategies for Smoking Cessation,"Don't give up with patients who can't stop smoking; try  these strategies, and if they fail, try again."
" February, 2002 ",Medscape Oncology,Adjuvant Chemotherapy for Resected SCLC?,A healthy 65-year-old male smoker had an incidental left lower lobe mass found on routine chest x-ray.
" February, 2002 ",Medscape Rheumatology,The Pitfalls of Opioids for Chronic Nonmalignant Pain,The abuse of OxyContin for chronic nonmalignant pain is a serious medical and social problem.
" February, 2002 ",Topics in Advanced Practice Nursing eJournal,Smoking Cessation and Weight Gain,Read about smoking cessation and weight gain in this  collection of recent MEDLINE abstracts.
" March, 2002 ",CHEST,Treating Tobacco Use and Dependence,Read about simple interventions and institutional changes that will increase the efficacy of treating current smokers.
" March, 2002 ",Journal of the American Board of Family Medicine,Treatment of a Young Adult Taking Gamma Butyrolactone,"Clinicians should ask about GBL use in high-risk populations, and in those who complain of possible signs of withdrawal."
" April, 2002 ",Morbidity & Mortality Weekly Report,Alcohol Use Among US Women of Childbearing Age,Rates of binge drinking and frequent drinking during pregnancy have not declined.
" April, 2002 ",Medscape Oncology,Possible Metastasis Following Therapy in Stage IIIB NSCLC?,A 34-year-old male with a 10-year history of smoking was diagnosed with NSCLC following routine chest x-ray and CT scan.
" April, 2002 ",Medscape Nurses,Monthly Summaries of Nursing Research,"Review nursing research on topics such as hypertension, multicultural care, US and foreign nurses, genetics, and more."
" April, 2002 ",Medscape Medical News,Drug Used for Dry Mouth May Help Prevent Lung Cancer,Dysplastic lesions in smokers' lungs are less likely to progress with ADT.
" May, 2002 ",Medscape Oncology,Bilateral Hilar Activity on PET in Early-Stage NSCLC?,CT of a left lower lung nodule in a 60-year-old female smoker revealed a T1 tumor without enlarged lymph nodes.
" May, 2002 ",Medscape Neurology,Bupropion and alcohol-induced seizures,Is slow-release bupropion safe for a patient with alcohol-induced seizures?
" May, 2002 ",Medscape Medical News,Fewer High School Students Lighting Up,Cigarette use is declining after a peak in the late 1990s.
" May, 2002 ",Medscape Medical News,Cancer May Progress More Rapidly in Alcoholics,Mouse study shows alcohol accelerates fat loss.
" June, 2002 ",Medscape Medical News,"Benzodiazepines Better PRN, Not ATC for Alcohol Withdrawal",Patients used fewer medications and withdrew faster.
" July, 2002 ",Medscape Medical News,Bupropion Helps African Americans Quit Smoking,The drug allows for fewer depressive symptoms and less weight gain.
" August, 2002 ",CHEST,Hospital Initiatives in Promoting Smoking Cessation,"Of the 50 million smokers in the United States, each year approximately 20 million try to stop."
" September, 2002 ",CHEST,Passive Smoking Exposure: Chronic Bronchitis and Asthma Risks,The prevalence of passive smoke exposure at home and at the workplace is still high throughout Europe.
" September, 2002 ",CHEST,Involuntary Smoking and Asthma Severity in Children,"Involuntary smoking by children has been linked to respiratory infections, middle ear disease, and asthma."
" September, 2002 ",CHEST,Environmental Tobacco Smoke Exposure During Travel Among Adults,"Environmental tobacco smoke (ETS) exposure has been linked with many adverse health consequences, ranging from asthma exacerbation to lung cancer."
" September, 2002 ",Medscape Medical News,Teens Want to Talk About Their Health Habits,"Adolescents are receptive to discussing lifestyle behaviors with nurse practitioners, leading to small but encouraging changes."
" October, 2002 ",Medscape Medical News,Intervention Improves Mental Health in Children of Divorce,Programs geared to mothers only or to both mothers and children were equally effective in reducing mental and behavioral problems.
" October, 2002 ",Medscape Medical News,Smoking an Important Risk Factor for Colorectal Polyps,Investigators suggest screening colonoscopy should be offered to smokers before age 50 years.
" October, 2002 ",Morbidity & Mortality Weekly Report,Usual Sources of Cigarettes for Middle and High School Students,The percentages of students who reported stealing cigarettes or 
" December, 2002 ",Medscape Nurses,Monthly Summaries of Nursing Research,"Nurse colleagues have published many new studies this month. Check out summaries from NINR on HIV, case management, dementia, pregnancy, and more."
" December, 2002 ",Medscape Med Students,Bitter Pills to Swallow,A patient's attempt to con an intern garners mixed results.
" January, 2003 ",Medscape Medical News,ADHD Meds Do Not Lead to Future Drug Abuse,"Children treated with stimulants are no more likely to later smoke, drink, or use illegal drugs."
" January, 2003 ",Health Affairs,Private Health Insurance for Mental Health and Substance Abuse,"The decline in spending between in the 1990s is a change from trends in the 1980s, when rising costs alarmed policymakers and employers."
" January, 2003 ",Medscape Cardiology,"ALLHAT Reactions; Regulatory, Guidelines, and Research News","The ALLHAT results were not expected by everyone-  and the debate will no doubt continue-but planned new  JNC-VII guidelines, a new FDA approval, and a  potential ethics controversy also start off 2003."
" January, 2003 ",Medscape Psychiatry,January 2003: Celebrating Newsletters,Check out the many newsletters available at Medscape Psychiatry & Mental Health
" January, 2003 ",Medscape Medical News,Selegiline Helps Smokers Quit,The effect of this drug in aiding smoking cessation is about half that of buproprion but comparable to that of nicotine replacement.
" January, 2003 ",Medscape Med Students,"Letter - Regarding ""Bitter Pills to Swallow""",A psychologist and chronic pain sufferer reacts to a recent story.
" January, 2003 ",Medscape Radiology,"PET Case Cavalcade, Case VII: Abdominal Pain and Mild Anemia","In this case, the ability of FDG-PET scanning to characterize the metabolic nature of disease for effective staging altered the course of therapy from surgery to a palliative approach."
" February, 2003 ",Medscape Psychiatry,Conference Report From the Addiction Psychiatry Meeting,Seleted reports from the Addiction Psychiatry Meeting
" February, 2003 ",Medscape Medical News,New Guidelines Improve Outcome in Cocaine-Associated Chest Pain,Patients with no evidence of ischemia during 12 hours of observation have a very low rate of death or MI during the next 30 days.
" February, 2003 ",Medscape Medical News,Buprenorphine Effective in Heroin Addiction,"This drug may be a viable alternative to methadone, with 75% retention in treatment at one year compared with 0% for the placebo group."
" February, 2003 ",Medscape Medical News,"Smoking Cessation Linked to Cold Symptoms, Mouth Ulcers",Informing patients of these risks is likely to prepare them psychologically and to increase the likelihood of successful cessation.
" March, 2003 ",CHEST,Cough Reflex Sensitivity in Cigarette Smokers,Cough results from the stimulation of sensory receptors within the respiratory tract the afferent impulses of which activate a brainstem cough center.
" March, 2003 ",Current Opinion in Psychiatry,Management of Smoking in People With Psychiatric Disorders,"Individuals with a mental illness or addiction are two to three times more likely to be tobacco dependent than the general population, and smokers with psychiatric disorders consume nearly half of all cigarettes consumed in the United States."
" March, 2003 ",Medscape Medical News,NSAIDs May Reduce Lung Cancer Risk,"In a case-control study, regular use of these drugs reduced risk for former or current smokers, but not for nonsmokers."
" April, 2003 ",Morbidity & Mortality Weekly Report,Point-of-Purchase Alcohol Marketing and Promotion by Store Type,"Alcohol consumption is the third leading preventable cause of death in the United States, accounting for approximately 100,000 deaths annually."
" April, 2003 ",Morbidity & Mortality Weekly Report,Prevalence of Current Cigarette Smoking Among Adults,"Tobacco use, particularly cigarette smoking, is the leading preventable cause of death in the United States and is responsible for approximately 440,000 deaths each year."
" April, 2003 ",American Heart Journal,Smoking and Health Outcomes After PCI,Smoking substantially limits the potential health status benefits of PCI.
" April, 2003 ",Morbidity & Mortality Weekly Report,Observational Survey of Smoking Provisions in Food Service,"In the United States, approximately 38,000 deaths are attributable to second hand smoke (SHS) exposure each year."
" May, 2003 ",Pharmacotherapy,Illicit Methylphenidate Use,"Determining the prevalence of methylphenidate use among undergraduate students, as well as identifying alcohol and drug use behaviors, risk factors, and consequences."
" May, 2003 ",CHEST,Cigarette Smoking Among Asthmatic Adults,"The emergency department (ED) is an important focal point for adult asthmatic individuals with uncontrolled illness, many of whom are active cigarette smokers."
" May, 2003 ",American Journal of Public Health,Changes of Attitudes and Patronage Behaviors,Environmental tobacco smoke (ETS) exposure is well recognized to have long-term adverse effects on health.
" May, 2003 ",Current Opinion in Psychiatry,Physical Complications of Substance Abuse,Diverse physical problems accompany and complicate substance abuse in a way that requires the psychiatrist to be aware and well informed.
" May, 2003 ",Current Opinion in Psychiatry,"Review of Comorbidity of Affective, Anxiety, and Substance Use",There is a growing body of literature exploring the interface of mood and anxiety disorders and substance use disorders.
" May, 2003 ",Medscape Psychiatry,Comorbid Substance Abuse in Suicide Risk for Bipolar Patients,"Is substance abuse a complication of bipolar disorder,  or a risk factor for it?"
" May, 2003 ",Southern Medical Journal,Spontaneous Pleural Empyema,This article details the case of an alcoholic man who had spontaneous pleural empyema due to Y. enterocolitica.
" May, 2003 ",Journal of Midwifery & Women's Health,Factors That Influence Smoking in Adolescent Girls,Read a secondary analysis of interview data from the Longitudinal Study of Adolescent Health on factors that are either protective against smoking or increase the risk for smoking in adolescent girls.
" June, 2003 ",CHEST,Diagnosis of Airflow Limitation Combined With Smoking Cessation,Population spirometric screening in middle-aged smokers in Poland proved to be an effective method for the early diagnosis of COPD.
" June, 2003 ",Medscape Psychiatry,ADHD and Substance Abuse,Is there a connection between ADHD and substance  abuse?
" June, 2003 ",American Journal of Public Health,Cigarette Smoking and Cognitive Decline in Midlife,"Population-based evidence of an effect of smoking on cognitive function has been inconclusive, with most longitudinal studies reporting weak or null associations, although at least 2 investigations have indicated increased risks of cognitive decline."
" July, 2003 ",Pharmacotherapy,Alcohol Withdrawal Syndrome Practice Guideline on Surgical Pat,"Alcoholism affects approximately 15 million adults in the United States, is the fourth leading cause of disability and health care burden worldwide, and is a factor in 50% of motor vehicle accidents, burns, and crimes."
" July, 2003 ",Pharmacotherapy,Propofol Withdrawal in  Adult Patient With Thermal Injury,Sedation plays an important role in critical care by providing greater comfort for acutely ill patients.
" July, 2003 ",American Journal of Public Health,Adolescents? Smoking Status in Massachusetts,High adolescent smoking rates continue to present a major challenge to the public health community.
" July, 2003 ",Cancer Control: Journal of the Moffitt Cancer Center,Teachable Moments for Promoting Smoking Cessation,"In 2003, more than 1.3 million Americans will be diagnosed with cancer."
" July, 2003 ",Journal of the American Board of Family Medicine,Characteristics of Mothers Who Have Children With FAS,Fetal alcohol syndrome (FAS) is the most common cause of preventable mental retardation in the United States.
" August, 2003 ",Medscape General Surgery,The Case of the Jaundiced Musician,"Case of a 57-year old white, male musician who presented with a chief complaint of vomiting and swelling of the legs and abdomen. Can you guess who this is and what caused his medical problems?"
" August, 2003 ",Medscape Medical News,Exercise Delays Pulmonary Function Decline in Smokers and Nonsmokers,"Although more research is needed to determine whether this holds true for urban dwellers, the investigators encourage middle-aged and older people to exercise."
" August, 2003 ",Medscape Medical News,Marijuana Withdrawal Syndrome a Real Entity,Level of dependency in marijuana users was nearly as strong as that of cocaine users.
" September, 2003 ",Medscape Medical News,Gamma Vinyl-GABA May Be Effective in Cocaine Addiction,Results from the first human clinical trial of this antiepileptic drug for this indication suggest that it helps reduce cocaine cravings.
" September, 2003 ",Medscape Medical News,HRT May Protect Against Smoking-Associated Cancers,"The incidence of smoking-associated cancers is decreased in women using hormone replacement therapy, suggesting that this therapy may prevent or postpone these cancers."
" September, 2003 ",Medscape Pulmonary Medicine,MEDLINE Abstract: Smoking Cessation,What's new in the medical literature on smoking cessation?
" October, 2003 ",Topics in Advanced Practice Nursing eJournal,Helping Pregnant Women Cope With Smoking Cessation,Learn a 3-step approach to helping pregnant women stop smoking.
" October, 2003 ",American Journal of Health-System Pharmacy,Professional Casualties on America?s War on Drugs,"The metaphor of warfare has frequently been used in descriptions of government actions to ""combat"" the scourge of drug abuse in American society."
" October, 2003 ",Medscape Transplantation,Abstinence From Substance Abuse?,What are the current recommendations regarding length of abstinence from substance abuse when evaluating a patient for organ transplantation?
" October, 2003 ",CHEST,Smoking Habits Among Medical and Nursing Students,"Despite extensive data indicating that health-care providers can help smokers to quit, medical and nursing practitioners have generally not been proactive in providing smoking cessation services to patients."
" October, 2003 ",Medscape Transplantation,Smoking as a Risk Factor After Kidney Transplantation?,Is smoking a risk for kidney allograft loss?
" October, 2003 ",American Journal of Health-System Pharmacy,ASHP Statement on the Pharmacist?s Role in Substance Abuse,"The American Society of Health-System Pharmacists (ASHP) believes that pharmacists have the unique knowledge, skills, and responsibilities for assuming an important role in substance abuse prevention, education, and assistance."
